"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Ibn-Kathir_1" "Samarqandi_1"
"وقد" 0.181333333333333 0.0626666666666667 0.0893333333333333 0.0746666666666667 0.096 0.0746666666666667 0.36 0.0973333333333333 0.052 0.102666666666667 0.104 0.0253333333333333 0.0333333333333333 0.252 0.0866666666666667 0.173333333333333 0.272 0.104
"الثاني" 0.0573333333333333 0.00933333333333333 0.0173333333333333 0.0426666666666667 1.5 0.0266666666666667 0.0373333333333333 0.218666666666667 0.0306666666666667 0.00266666666666667 0.0226666666666667 0.00266666666666667 0.0173333333333333 0.0373333333333333 0.129333333333333 0.0346666666666667 0.00666666666666667 0.008
"فإن" 0.106666666666667 0.0933333333333333 0.257333333333333 0.166666666666667 0.0653333333333333 0.0666666666666667 0.1 0.229333333333333 0.0186666666666667 0.0826666666666667 0.42 0.02 0.04 0.0746666666666667 0.258666666666667 0.0546666666666667 0.092 0.0493333333333333
"مِن" 0.00133333333333333 0.16 0.182666666666667 0 0.104 0.177333333333333 0.105333333333333 0.0866666666666667 0.461333333333333 0.0226666666666667 0.0706666666666667 0.38 0.0506666666666667 0.016 0.0653333333333333 0.004 0.122666666666667 0.185333333333333
"لأنه" 0.198666666666667 0.0653333333333333 0.172 0.122666666666667 0.153333333333333 0.181333333333333 0.162666666666667 0.158666666666667 0.0453333333333333 0.0506666666666667 0.156 0.0173333333333333 0.181333333333333 0.0866666666666667 0.238666666666667 0.0733333333333333 0.028 0.0933333333333333
"بها" 0.130666666666667 0.104 0.164 0.153333333333333 0.14 0.122666666666667 0.108 0.072 0.153333333333333 0.0906666666666667 0.152 0.0786666666666667 0.172 0.0973333333333333 0.125333333333333 0.114666666666667 0.116 0.08
"وهذا" 0.170666666666667 0.0546666666666667 0.04 0.0906666666666667 0.276 0.0706666666666667 0.186666666666667 0.190666666666667 0.06 0.032 0.0653333333333333 0.024 0.0146666666666667 0.16 0.148 0.301333333333333 0.142666666666667 0.101333333333333
"مَا" 0 0.138666666666667 0.197333333333333 0 0.0893333333333333 0.184 0.105333333333333 0.092 0.416 0.0306666666666667 0.0866666666666667 0.310666666666667 0.0933333333333333 0.00533333333333333 0.0973333333333333 0.00133333333333333 0.110666666666667 0.169333333333333
"عند" 0.116 0.117333333333333 0.0813333333333333 0.14 0.0986666666666667 0.142666666666667 0.129333333333333 0.134666666666667 0.088 0.101333333333333 0.112 0.0866666666666667 0.189333333333333 0.109333333333333 0.109333333333333 0.121333333333333 0.118666666666667 0.096
"ثنا" 0 0.0293333333333333 0 0 0 0 0 0 0 2.04666666666667 0 0 0 0 0 0 0.00133333333333333 0.00133333333333333
"و" 0.126666666666667 0.0773333333333333 0.188 0.004 0.0106666666666667 0.205333333333333 0.136 0.02 0.0946666666666667 0.00933333333333333 0.2 0.02 0.0386666666666667 0.136 0.084 0.685333333333333 0.012 0.0173333333333333
"التي" 0.158666666666667 0.0866666666666667 0.0813333333333333 0.136 0.14 0.130666666666667 0.117333333333333 0.109333333333333 0.0533333333333333 0.084 0.158666666666667 0.0373333333333333 0.122666666666667 0.12 0.0733333333333333 0.192 0.124 0.0973333333333333
"إليه" 0.149333333333333 0.133333333333333 0.174666666666667 0.149333333333333 0.109333333333333 0.137333333333333 0.0893333333333333 0.113333333333333 0.122666666666667 0.0253333333333333 0.166666666666667 0.032 0.142666666666667 0.0453333333333333 0.092 0.122666666666667 0.0893333333333333 0.084
"مع" 0.105333333333333 0.0973333333333333 0.113333333333333 0.126666666666667 0.0773333333333333 0.121333333333333 0.092 0.14 0.0853333333333333 0.0786666666666667 0.12 0.0973333333333333 0.110666666666667 0.104 0.22 0.106666666666667 0.0786666666666667 0.092
"بما" 0.125333333333333 0.0946666666666667 0.152 0.138666666666667 0.129333333333333 0.12 0.0693333333333333 0.102666666666667 0.117333333333333 0.0373333333333333 0.121333333333333 0.134666666666667 0.162666666666667 0.096 0.104 0.0493333333333333 0.1 0.0986666666666667
"أحدهما" 0.0373333333333333 0.0173333333333333 0.0106666666666667 0.0453333333333333 1.12933333333333 0.0146666666666667 0.044 0.0706666666666667 0.004 0.00933333333333333 0.0426666666666667 0.00266666666666667 0.048 0.378666666666667 0.0333333333333333 0.0173333333333333 0.012 0.012
"قيل" 0.150666666666667 0.128 0.0813333333333333 0.149333333333333 0.0813333333333333 0.142666666666667 0.112 0.166666666666667 0.0306666666666667 0.0306666666666667 0.166666666666667 0.004 0.105333333333333 0.0826666666666667 0.346666666666667 0.0706666666666667 0.0413333333333333 0.0386666666666667
"الناس" 0.108 0.121333333333333 0.0653333333333333 0.141333333333333 0.0973333333333333 0.08 0.0986666666666667 0.092 0.0786666666666667 0.110666666666667 0.113333333333333 0.06 0.0973333333333333 0.0946666666666667 0.0666666666666667 0.237333333333333 0.134666666666667 0.113333333333333
"فلا" 0.122666666666667 0.0853333333333333 0.0946666666666667 0.12 0.0826666666666667 0.122666666666667 0.108 0.153333333333333 0.133333333333333 0.0466666666666667 0.0893333333333333 0.0866666666666667 0.114666666666667 0.109333333333333 0.206666666666667 0.084 0.072 0.068
"ذكر" 0.172 0.056 0.0546666666666667 0.110666666666667 0.052 0.0973333333333333 0.0653333333333333 0.168 0.0706666666666667 0.410666666666667 0.08 0.0506666666666667 0.0546666666666667 0.0853333333333333 0.0746666666666667 0.112 0.084 0.0946666666666667
"إِلاَّ" 0 0.122666666666667 0.196 0 0.048 0.144 0.0986666666666667 0.084 0.317333333333333 0.016 0.0586666666666667 0.36 0.032 0.0253333333333333 0.06 0 0.144 0.157333333333333
"الذين" 0.137333333333333 0.113333333333333 0.052 0.205333333333333 0.0733333333333333 0.110666666666667 0.0506666666666667 0.096 0.0426666666666667 0.164 0.112 0.0933333333333333 0.0946666666666667 0.14 0.036 0.146666666666667 0.0773333333333333 0.117333333333333
"النار" 0.0693333333333333 0.112 0.0693333333333333 0.137333333333333 0.133333333333333 0.0986666666666667 0.0786666666666667 0.088 0.0906666666666667 0.0626666666666667 0.08 0.248 0.117333333333333 0.104 0.028 0.084 0.101333333333333 0.148
"الجنة" 0.0573333333333333 0.102666666666667 0.0733333333333333 0.133333333333333 0.102666666666667 0.0853333333333333 0.110666666666667 0.0666666666666667 0.0906666666666667 0.0346666666666667 0.0786666666666667 0.228 0.133333333333333 0.108 0.0133333333333333 0.0706666666666667 0.144 0.154666666666667
"وهي" 0.134666666666667 0.0826666666666667 0.113333333333333 0.0973333333333333 0.0786666666666667 0.149333333333333 0.101333333333333 0.0826666666666667 0.0826666666666667 0.048 0.14 0.0706666666666667 0.076 0.0893333333333333 0.08 0.221333333333333 0.0573333333333333 0.072
"القرآن" 0.08 0.104 0.0853333333333333 0.113333333333333 0.0893333333333333 0.101333333333333 0.0666666666666667 0.0946666666666667 0.193333333333333 0.06 0.0466666666666667 0.166666666666667 0.168 0.0933333333333333 0.0706666666666667 0.0773333333333333 0.0506666666666667 0.112
"منهم" 0.1 0.117333333333333 0.105333333333333 0.145333333333333 0.0786666666666667 0.113333333333333 0.0653333333333333 0.068 0.112 0.096 0.146666666666667 0.064 0.0986666666666667 0.117333333333333 0.0813333333333333 0.088 0.0986666666666667 0.0773333333333333
