"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiay_1" "Ibn-Kathir_1" "Samarqandi_1"
"رسول" 0.0786666666666667 0.338666666666667 0.0813333333333333 0.326666666666667 0.181333333333333 0.108 0.216 0.056 0.012 0.185333333333333 0.229333333333333 0.06 0.0346666666666667 0.118666666666667 0.0253333333333333 0.130666666666667 0.568 0.168
"الآية" 0.149333333333333 0.150666666666667 0.04 0.205333333333333 0.14 0.0533333333333333 0.154666666666667 0.314666666666667 0.02 0.105333333333333 0.0533333333333333 0.052 0.064 0.190666666666667 0.302666666666667 0.562666666666667 0.189333333333333 0.128
"يا" 0.0813333333333333 0.210666666666667 0.0453333333333333 0.317333333333333 0.092 0.0586666666666667 0.149333333333333 0.0546666666666667 0.110666666666667 0.230666666666667 0.0773333333333333 0.593333333333333 0.0613333333333333 0.124 0.028 0.114666666666667 0.28 0.193333333333333
"بعد" 0.165333333333333 0.118666666666667 0.145333333333333 0.185333333333333 0.185333333333333 0.152 0.112 0.112 0.130666666666667 0.136 0.166666666666667 0.289333333333333 0.224 0.144 0.124 0.176 0.102666666666667 0.118666666666667
"كل" 0.168 0.144 0.145333333333333 0.233333333333333 0.149333333333333 0.188 0.14 0.226666666666667 0.076 0.0533333333333333 0.184 0.154666666666667 0.198666666666667 0.105333333333333 0.132 0.208 0.162666666666667 0.118666666666667
"حتى" 0.109333333333333 0.288 0.122666666666667 0.264 0.242666666666667 0.136 0.184 0.101333333333333 0.0413333333333333 0.0906666666666667 0.217333333333333 0.088 0.166666666666667 0.156 0.0626666666666667 0.102666666666667 0.237333333333333 0.169333333333333
"أهل" 0.0933333333333333 0.233333333333333 0.068 0.197333333333333 0.117333333333333 0.117333333333333 0.152 0.0986666666666667 0.0986666666666667 0.352 0.121333333333333 0.3 0.165333333333333 0.150666666666667 0.0546666666666667 0.122666666666667 0.124 0.206666666666667
"يوم" 0.16 0.169333333333333 0.0933333333333333 0.204 0.156 0.138666666666667 0.125333333333333 0.0973333333333333 0.138666666666667 0.138666666666667 0.105333333333333 0.302666666666667 0.149333333333333 0.189333333333333 0.0253333333333333 0.137333333333333 0.178666666666667 0.176
"وقرأ" 0.389333333333333 0.194666666666667 0.257333333333333 0.00133333333333333 0.0346666666666667 0.0133333333333333 0.142666666666667 0.028 0 0.024 0.124 0 0.008 0.412 0.00666666666666667 0.758666666666667 0.008 0.205333333333333
"يقول" 0.0466666666666667 0.154666666666667 0.0386666666666667 0.105333333333333 0.0173333333333333 0.036 0.101333333333333 0.0973333333333333 0.0266666666666667 0.902666666666667 0.0573333333333333 0.304 0.0253333333333333 0.088 0.0893333333333333 0.06 0.218666666666667 0.186666666666667
"مَا" 0.00133333333333333 0.137333333333333 0.212 0.004 0.0893333333333333 0.173333333333333 0.105333333333333 0.1 0.502666666666667 0.0186666666666667 0.0986666666666667 0.298666666666667 0.205333333333333 0.02 0.270666666666667 0.00666666666666667 0.102666666666667 0.182666666666667
"لما" 0.184 0.072 0.246666666666667 0.184 0.118666666666667 0.162666666666667 0.141333333333333 0.306666666666667 0.113333333333333 0.0386666666666667 0.158666666666667 0.0173333333333333 0.197333333333333 0.0946666666666667 0.133333333333333 0.109333333333333 0.114666666666667 0.0866666666666667
"وفي" 0.194666666666667 0.0706666666666667 0.076 0.113333333333333 0.409333333333333 0.0666666666666667 0.174666666666667 0.134666666666667 0.18 0.0106666666666667 0.108 0.0106666666666667 0.0306666666666667 0.352 0.105333333333333 0.229333333333333 0.124 0.0786666666666667
"قد" 0.145333333333333 0.136 0.0546666666666667 0.205333333333333 0.149333333333333 0.0946666666666667 0.185333333333333 0.164 0.0373333333333333 0.148 0.132 0.08 0.0933333333333333 0.230666666666667 0.104 0.164 0.18 0.126666666666667
"الدنيا" 0.104 0.137333333333333 0.08 0.192 0.169333333333333 0.133333333333333 0.092 0.132 0.150666666666667 0.0466666666666667 0.106666666666667 0.296 0.209333333333333 0.104 0.0373333333333333 0.108 0.110666666666667 0.197333333333333
"غير" 0.158666666666667 0.088 0.114666666666667 0.117333333333333 0.113333333333333 0.177333333333333 0.145333333333333 0.165333333333333 0.072 0.132 0.168 0.101333333333333 0.122666666666667 0.12 0.245333333333333 0.177333333333333 0.0733333333333333 0.0666666666666667
"عبد" 0.0906666666666667 0.356 0.0186666666666667 0.0746666666666667 0.092 0.048 0.144 0.012 0.0133333333333333 0.417333333333333 0.0533333333333333 0.072 0.0333333333333333 0.0826666666666667 0.0653333333333333 0.134666666666667 0.510666666666667 0.118666666666667
"عنه" 0.116 0.16 0.112 0.124 0.122666666666667 0.156 0.126666666666667 0.152 0.0773333333333333 0.092 0.205333333333333 0.0186666666666667 0.16 0.076 0.166666666666667 0.137333333333333 0.212 0.108
"عليهم" 0.130666666666667 0.102666666666667 0.141333333333333 0.208 0.104 0.197333333333333 0.105333333333333 0.121333333333333 0.106666666666667 0.048 0.185333333333333 0.118666666666667 0.144 0.129333333333333 0.092 0.0986666666666667 0.117333333333333 0.164
"منه" 0.134666666666667 0.106666666666667 0.165333333333333 0.125333333333333 0.101333333333333 0.141333333333333 0.142666666666667 0.176 0.129333333333333 0.118666666666667 0.181333333333333 0.0546666666666667 0.132 0.092 0.177333333333333 0.128 0.121333333333333 0.0773333333333333
"فيها" 0.150666666666667 0.124 0.145333333333333 0.144 0.193333333333333 0.142666666666667 0.116 0.118666666666667 0.121333333333333 0.0333333333333333 0.141333333333333 0.0613333333333333 0.122666666666667 0.148 0.138666666666667 0.156 0.114666666666667 0.12
"وما" 0.189333333333333 0.0733333333333333 0.126666666666667 0.266666666666667 0.118666666666667 0.170666666666667 0.0893333333333333 0.0893333333333333 0.072 0.122666666666667 0.217333333333333 0.0853333333333333 0.0826666666666667 0.198666666666667 0.0626666666666667 0.132 0.102666666666667 0.0853333333333333
"ويقال" 0.0386666666666667 0.016 0.004 0.00666666666666667 0.00533333333333333 0.00666666666666667 0.0413333333333333 0.0146666666666667 0.0173333333333333 0.004 0.0173333333333333 0.948 0.00133333333333333 0.0413333333333333 0.004 0.036 0.0173333333333333 1.00533333333333
"قول" 0.124 0.088 0.0146666666666667 0.0773333333333333 0.605333333333333 0.0293333333333333 0.212 0.112 0.008 0.162666666666667 0.0413333333333333 0.012 0.0546666666666667 0.157333333333333 0.0866666666666667 0.316 0.056 0.0613333333333333
"وقد" 0.154666666666667 0.0773333333333333 0.0773333333333333 0.101333333333333 0.102666666666667 0.0693333333333333 0.321333333333333 0.109333333333333 0.052 0.128 0.126666666666667 0.032 0.036 0.224 0.076 0.164 0.262666666666667 0.0973333333333333
"الثاني" 0.052 0.00533333333333333 0.0426666666666667 0.0426666666666667 1.49866666666667 0.02 0.0413333333333333 0.256 0.0213333333333333 0.00266666666666667 0.0186666666666667 0.00266666666666667 0.012 0.0386666666666667 0.0946666666666667 0.0213333333333333 0.00533333333333333 0.008
"عند" 0.125333333333333 0.105333333333333 0.0733333333333333 0.145333333333333 0.138666666666667 0.136 0.137333333333333 0.134666666666667 0.096 0.0893333333333333 0.117333333333333 0.114666666666667 0.181333333333333 0.102666666666667 0.0933333333333333 0.145333333333333 0.110666666666667 0.12
"حدثنا" 0 0.268 0 0.00133333333333333 0 0 0.008 0 0 0.917333333333333 0 0 0.00133333333333333 0 0 0 0.876 0.0773333333333333
"بين" 0.14 0.0853333333333333 0.102666666666667 0.144 0.126666666666667 0.134666666666667 0.130666666666667 0.148 0.0613333333333333 0.0346666666666667 0.173333333333333 0.133333333333333 0.173333333333333 0.0986666666666667 0.114666666666667 0.117333333333333 0.112 0.113333333333333
"بها" 0.162666666666667 0.104 0.157333333333333 0.136 0.137333333333333 0.12 0.122666666666667 0.0733333333333333 0.129333333333333 0.0933333333333333 0.146666666666667 0.076 0.157333333333333 0.114666666666667 0.105333333333333 0.133333333333333 0.0946666666666667 0.0666666666666667
"مِن" 0.00133333333333333 0.153333333333333 0.172 0 0.110666666666667 0.184 0.101333333333333 0.076 0.432 0.0133333333333333 0.0653333333333333 0.373333333333333 0.0533333333333333 0.02 0.0506666666666667 0.00133333333333333 0.130666666666667 0.174666666666667
"فإن" 0.105333333333333 0.0706666666666667 0.264 0.157333333333333 0.068 0.0546666666666667 0.129333333333333 0.224 0.0133333333333333 0.0893333333333333 0.377333333333333 0.0133333333333333 0.0386666666666667 0.0613333333333333 0.212 0.0813333333333333 0.08 0.0573333333333333
"ثنا" 0 0.0186666666666667 0 0 0 0 0 0 0 2.06533333333333 0 0 0 0 0 0 0 0.00133333333333333
"لأنه" 0.192 0.0506666666666667 0.166666666666667 0.102666666666667 0.170666666666667 0.194666666666667 0.132 0.178666666666667 0.04 0.036 0.152 0.008 0.164 0.0973333333333333 0.210666666666667 0.076 0.0306666666666667 0.0826666666666667
"و" 0.110666666666667 0.064 0.193333333333333 0.00266666666666667 0.0146666666666667 0.212 0.152 0.0293333333333333 0.096 0.0173333333333333 0.194666666666667 0.0253333333333333 0.0573333333333333 0.148 0.0693333333333333 0.670666666666667 0.0106666666666667 0.016
"مِنْ" 0.00133333333333333 0.0826666666666667 0.0973333333333333 0.0133333333333333 0.0706666666666667 0.0826666666666667 0.0626666666666667 0.0386666666666667 0.356 0.225333333333333 0.0573333333333333 0.145333333333333 0.229333333333333 0.0973333333333333 0.372 0.0213333333333333 0.0386666666666667 0.0813333333333333
"التي" 0.164 0.101333333333333 0.105333333333333 0.157333333333333 0.124 0.150666666666667 0.12 0.142666666666667 0.0653333333333333 0.0746666666666667 0.172 0.0386666666666667 0.101333333333333 0.0906666666666667 0.0546666666666667 0.202666666666667 0.0946666666666667 0.0813333333333333
"الناس" 0.0973333333333333 0.110666666666667 0.052 0.14 0.109333333333333 0.124 0.088 0.102666666666667 0.0586666666666667 0.105333333333333 0.12 0.0773333333333333 0.0986666666666667 0.0786666666666667 0.0746666666666667 0.273333333333333 0.129333333333333 0.125333333333333
"وهذا" 0.178666666666667 0.0466666666666667 0.0293333333333333 0.068 0.270666666666667 0.0493333333333333 0.16 0.156 0.04 0.0306666666666667 0.06 0.0253333333333333 0.0173333333333333 0.138666666666667 0.112 0.34 0.145333333333333 0.0946666666666667
"وَمَا" 0 0.110666666666667 0.190666666666667 0.00933333333333333 0.0413333333333333 0.154666666666667 0.0493333333333333 0.0933333333333333 0.394666666666667 0.012 0.0653333333333333 0.248 0.124 0.0146666666666667 0.173333333333333 0.0106666666666667 0.112 0.142666666666667
"إليه" 0.138666666666667 0.112 0.162666666666667 0.149333333333333 0.114666666666667 0.16 0.0786666666666667 0.118666666666667 0.096 0.028 0.177333333333333 0.0346666666666667 0.116 0.052 0.0826666666666667 0.092 0.105333333333333 0.0973333333333333
"فلا" 0.144 0.096 0.0853333333333333 0.152 0.101333333333333 0.109333333333333 0.130666666666667 0.14 0.124 0.0693333333333333 0.112 0.0506666666666667 0.117333333333333 0.0813333333333333 0.178666666666667 0.0653333333333333 0.0693333333333333 0.0773333333333333
"فِي" 0.00266666666666667 0.0493333333333333 0.0893333333333333 0.00533333333333333 0.102666666666667 0.0746666666666667 0.124 0.036 0.158666666666667 0.117333333333333 0.0226666666666667 0.504 0.157333333333333 0.0133333333333333 0.306666666666667 0.004 0.052 0.068
"الذين" 0.144 0.109333333333333 0.064 0.237333333333333 0.114666666666667 0.108 0.0586666666666667 0.0973333333333333 0.0373333333333333 0.149333333333333 0.121333333333333 0.088 0.0786666666666667 0.12 0.0306666666666667 0.121333333333333 0.06 0.122666666666667
"ذكر" 0.177333333333333 0.044 0.056 0.122666666666667 0.0386666666666667 0.0706666666666667 0.0733333333333333 0.188 0.0613333333333333 0.404 0.0933333333333333 0.064 0.0453333333333333 0.0746666666666667 0.048 0.122666666666667 0.0693333333333333 0.088
"بما" 0.122666666666667 0.0466666666666667 0.133333333333333 0.181333333333333 0.1 0.113333333333333 0.084 0.0773333333333333 0.114666666666667 0.0466666666666667 0.108 0.121333333333333 0.145333333333333 0.108 0.0893333333333333 0.0693333333333333 0.0666666666666667 0.102666666666667
"مع" 0.116 0.105333333333333 0.101333333333333 0.124 0.0733333333333333 0.105333333333333 0.0946666666666667 0.132 0.092 0.0426666666666667 0.1 0.124 0.0866666666666667 0.072 0.184 0.12 0.0693333333333333 0.088
"القرآن" 0.088 0.108 0.0573333333333333 0.122666666666667 0.114666666666667 0.106666666666667 0.0946666666666667 0.0946666666666667 0.136 0.0573333333333333 0.0613333333333333 0.177333333333333 0.164 0.116 0.0586666666666667 0.0706666666666667 0.0573333333333333 0.125333333333333
"ٱلَّذِينَ" 0 0.137333333333333 0.156 0 0.00266666666666667 0.177333333333333 0.0773333333333333 0.0933333333333333 0.412 0.032 0.0613333333333333 0.305333333333333 0.00266666666666667 0 0.0853333333333333 0 0.112 0.144
"وإن" 0.144 0.0973333333333333 0.0906666666666667 0.152 0.129333333333333 0.112 0.118666666666667 0.142666666666667 0.024 0.0786666666666667 0.109333333333333 0.0426666666666667 0.088 0.0426666666666667 0.149333333333333 0.122666666666667 0.0866666666666667 0.068
"النار" 0.06 0.144 0.0853333333333333 0.121333333333333 0.122666666666667 0.092 0.0786666666666667 0.0666666666666667 0.0973333333333333 0.0493333333333333 0.0666666666666667 0.272 0.12 0.092 0.0253333333333333 0.0586666666666667 0.0853333333333333 0.158666666666667
"معنى" 0.117333333333333 0.0666666666666667 0.0733333333333333 0.0786666666666667 0.101333333333333 0.114666666666667 0.130666666666667 0.0906666666666667 0.0226666666666667 0.174666666666667 0.214666666666667 0 0.008 0.253333333333333 0.0706666666666667 0.169333333333333 0.00666666666666667 0.092
"إِلاَّ" 0 0.116 0.201333333333333 0 0.0453333333333333 0.161333333333333 0.0693333333333333 0.0746666666666667 0.313333333333333 0.0173333333333333 0.08 0.316 0.0266666666666667 0.0293333333333333 0.0506666666666667 0.00133333333333333 0.117333333333333 0.156
"إِنَّ" 0 0.136 0.145333333333333 0.004 0.0426666666666667 0.117333333333333 0.06 0.052 0.357333333333333 0.012 0.048 0.282666666666667 0.084 0.016 0.196 0.00666666666666667 0.084 0.130666666666667
"قيل" 0.121333333333333 0.104 0.0693333333333333 0.152 0.0853333333333333 0.156 0.092 0.134666666666667 0.04 0.0266666666666667 0.18 0.00133333333333333 0.0853333333333333 0.096 0.297333333333333 0.0506666666666667 0.044 0.0373333333333333
