author_id,author_name,text_hash,words,sura,aaya
02-10,"الفيروز آبادي ",e7b12008c608a51d505f299fc4f98e96,645,8,35
02-10,"الفيروز آبادي ",0ebac17ec7df5a3fc92c066218e28240,603,5,96
02-10,"الفيروز آبادي ",060469078a02ce41ac3de6f93d929904,571,50,27
02-10,"الفيروز آبادي ",b350f0b63c656420aab26844d1bd33f5,555,57,22
02-10,"الفيروز آبادي ",8c05b9f972f21174313c93af86c53451,544,60,8
02-10,"الفيروز آبادي ",ba4a4e6825833062da4d28b954c1c042,544,75,9
02-10,"الفيروز آبادي ",46a80076012c03326db6b0b13c4bdae7,537,2,205
02-10,"الفيروز آبادي ",fd32bd426353166844bd194c9cf1d2ec,530,74,26
02-10,"الفيروز آبادي ",99586a8aba0d302c63f998f299350efc,523,76,9
02-10,"الفيروز آبادي ",4fac26f2ccadf886a46e6c797c04ae11,516,4,133
02-10,"الفيروز آبادي ",6bd9ad7d9b87b3951443515d941a5e92,514,2,282
02-10,"الفيروز آبادي ",82f423cc25bd19bf6058a7c2c2a90db8,509,5,1
02-10,"الفيروز آبادي ",74bebe11f5cbb483c6bb130473916bb0,508,4,120
02-10,"الفيروز آبادي ",983130697a02cdbfdb39ea86199779af,508,13,25
02-10,"الفيروز آبادي ",c64ebb3d4f95bacde9e5af430680d69f,505,42,43
02-10,"الفيروز آبادي ",ce5ad72df1a5d77fd6ad8de5bd7a9ecb,505,69,19
02-10,"الفيروز آبادي ",2823a2ad80e91111e34e0cb507016c27,504,13,13
02-10,"الفيروز آبادي ",128a55e0e078cef57d429c6300d6306b,504,49,12
02-10,"الفيروز آبادي ",1c2e1bd9d0651a6cde5972fd48c15dc8,495,24,34
02-10,"الفيروز آبادي ",c0a651819afb8f92d7cec0e931bef635,494,3,8
02-10,"الفيروز آبادي ",a396352ba6f2ca031e6662136fdbe4d5,490,89,6
02-10,"الفيروز آبادي ",2a4ec590348cfc36e214cff4a17b80b7,489,33,51
02-10,"الفيروز آبادي ",3112b51a710b84566362afade13833f6,488,58,10
02-10,"الفيروز آبادي ",32804f88ab817191aa0a7433f382daf7,485,59,15
02-10,"الفيروز آبادي ",d9a2309ece31406db76436a8fbd73846,484,56,62
02-10,"الفيروز آبادي ",8651ef6336f9bea042453706d70e115c,481,57,10
02-10,"الفيروز آبادي ",ef9d6c3d02fbcc551c887e14b81c8cc5,474,54,1
02-10,"الفيروز آبادي ",498b651d2b756447fa5864eec97ab54f,474,79,11
02-10,"الفيروز آبادي ",3f83600ebc64ef57cb7a5da0fb9e3195,469,84,1
02-10,"الفيروز آبادي ",46b80e728701ca28804c19fd9de9821c,468,78,11
02-10,"الفيروز آبادي ",a82fe9d80bb600cf28487fb802f2d151,467,58,14
02-10,"الفيروز آبادي ",f426df2f2cea1ceca331a5e90db72c14,463,7,43
02-10,"الفيروز آبادي ",1c0c5fd7b49f721fe720866dd0d4d511,462,3,91
02-10,"الفيروز آبادي ",aa80ccf5844a953061cc6ec0022fc527,461,61,1
02-10,"الفيروز آبادي ",83e91b28112a4452ada4ab1943943f97,459,2,196
02-10,"الفيروز آبادي ",3f1399fcad73de3ab8914aa346602a66,459,11,41
02-10,"الفيروز آبادي ",7b8a875f5a13624f399d4b7cd20a30f3,459,38,62
02-10,"الفيروز آبادي ",8bc89a33ad55a2d4609c80b7a167185d,459,59,3
02-10,"الفيروز آبادي ",fa1593f2ffa1bc098ca6cb6c93a0a549,456,40,71
02-10,"الفيروز آبادي ",3c35251205fcd3eb9536e8e055b32c65,453,48,26
02-10,"الفيروز آبادي ",ea635280593e368eaffda9d9a46c83be,449,47,22
02-10,"الفيروز آبادي ",6d2a3a45f8a0a07e2a8e72c2bf827fee,446,2,225
02-10,"الفيروز آبادي ",5939b09d76d7071873c4f4090e7241c2,444,64,1
02-10,"الفيروز آبادي ",30b88a8b557c6cba313dd21390332ad5,443,6,15
