author_id,author_name,text_hash,words,sura,aaya
01-04,"الرازي",c2a674a2782cb4463b463b22579fb6f1,4382,2,102
01-04,"الرازي",ab0242aea3cd7db464c94855b9b2c279,4270,25,45
01-04,"الرازي",d6cb5ce88c2d373a63a0aec232cd2323,4268,24,35
01-04,"الرازي",0ddb18073bc29a3510e6d20db7bc502c,4095,2,34
01-04,"الرازي",009af980e9cfce90f313bd6c046635df,4089,2,258
01-04,"الرازي",1f49abd8cd1c20b0c745cb6bc9fb87d2,4040,2,26
01-04,"الرازي",aee6952060c89389a5799f3e7fa2fd87,4036,2,282
01-04,"الرازي",17e0b67e894174edcbc028d2b5f4890e,4032,2,109
01-04,"الرازي",a7470722e9e7897d230ed95e67077879,4031,2,163
01-04,"الرازي",9c77b9a3d1309aa56e853f9e81e21eae,4030,7,54
01-04,"الرازي",1fe9d554f37193fcae291226d118714d,4016,2,122
01-04,"الرازي",8432cc41d385c74720485b03090305d0,4012,3,7
01-04,"الرازي",2407984be8098625ff900c4151dabb4a,4010,3,96
01-04,"الرازي",4b34cc2407609586a2846893bf0074e9,4005,2,21
01-04,"الرازي",f449acf1229473ca966d835164e7a464,3993,2,228
01-04,"الرازي",161da2dd674858b1ea7a66618c3912a8,3990,2,127
01-04,"الرازي",b67aaa0fb5fbcb284b671bc3c929995b,3989,108,1
01-04,"الرازي",656414c09628202a5e217a2678e87261,3988,2,164
01-04,"الرازي",626121d434e10ca7ef00370313837cfd,3986,2,184
01-04,"الرازي",397ff468012f02497f458605d4d430b8,3981,39,22
01-04,"الرازي",ea43ac3d8e385682cb1192c18eccf374,3979,2,6
01-04,"الرازي",61eba08ce450179e407f6ef3d255b93a,3979,2,7
01-04,"الرازي",d5b203fe0d425c463f87d272d63e1fce,3979,2,187
01-04,"الرازي",67d0be6d2dc2dfec68ee590eb0e45ff1,3977,2,48
01-04,"الرازي",d7fbfb2d90cb09ebbbf9e6e78ebe9888,3976,2,173
01-04,"الرازي",b04e73457c4ab9fe900965f8a71031a4,3976,10,4
01-04,"الرازي",bcd45a862785f8a28ae8b1f923111b8e,3971,4,92
01-04,"الرازي",c9fcdcfeafb4a7a7e33ef2c8e167dcde,3970,5,95
01-04,"الرازي",f063dfc4cbd1b6de21eb805142113a3c,3970,17,78
01-04,"الرازي",c75ab3e71c97d8ec372c6c1152f1352f,3966,2,40
01-04,"الرازي",9492716aa71aa97d384a0d684adec352,3964,2,30
01-04,"الرازي",ca41cd075f30a6a4bed1a6844e42e78b,3964,2,144
01-04,"الرازي",9e41f3419193090b4558728f14e65a1a,3963,4,11
01-04,"الرازي",fe6e967d85618e5994d854457e992235,3962,2,196
01-04,"الرازي",a661968fd31e963accbd9eb180b5dbc4,3957,2,197
01-04,"الرازي",8a3d901a7888d0415fd75645c60f759d,3955,21,21
01-04,"الرازي",8fbeb28cf5e03b12f2dff14795203222,3950,2,143
01-04,"الرازي",db97fd9d2edbb7af3de270da231362c0,3949,2,31
01-04,"الرازي",f608080960f8698afc09d3714b0caec1,3946,2,286
01-04,"الرازي",6bea353f2517c096b2ebc55f3f4b7a33,3944,4,23
01-04,"الرازي",ff8dfea403031c15b2310f8430a884b6,3940,2,1
01-04,"الرازي",7917ec53e517db7992e7c3c302bbaab6,3938,2,36
01-04,"الرازي",187af91fc3b46baf24c5cd97ba0431b1,3936,2,67
01-04,"الرازي",fc8f02896916ae9f64bee618063c8028,3935,6,76
01-04,"الرازي",6b8ab24fac4fb7907d2f64da1a3829e7,3934,2,177
01-04,"الرازي",1d9f103cb8f08230cdade611f3d66fda,3932,24,4
01-04,"الرازي",4b11058ea3a536060f7c35b491bb995d,3931,9,60
01-04,"الرازي",e3d0ef7398e005d0aca66c1a2a015f93,3930,2,178
01-04,"الرازي",6143ded88b88b127bda7ffaabb2a0a77,3926,2,275
01-04,"الرازي",2ed7f0539679ad44c7c5ec211d97c602,3925,2,198
01-04,"الرازي",fa8053ef416b606d1415016d1e1784e6,3925,2,285
01-04,"الرازي",c6b345efcd838c923692f41a48d7637e,3923,38,21
01-04,"الرازي",2ff9ff090097653119bfb032dac7c68e,3921,24,30
01-04,"الرازي",2805f83dfcad5f226c701aebb1d3ccbc,3920,5,6
01-04,"الرازي",df745cefc85e9d751980e6731a3b70eb,3919,2,255
01-04,"الرازي",a5f01ed15e839aa7c96f0db1a1abdd8f,3915,1,7
01-04,"الرازي",97088077d2d9ec979653b7df36148875,3912,17,85
01-04,"الرازي",4a6d40319771969da7ee19a4ad065419,3908,2,185
01-04,"الرازي",2d4dca1b307aaff62b5956614fc008cd,3901,2,2
01-04,"الرازي",34802b53c7cb01783288553fadd9c586,3900,3,104
01-04,"الرازي",8a9f17bdd539d3c177c8691d8faf930e,3892,4,24
01-04,"الرازي",637c8a0e085262ee866e4ecba130fb2d,3888,2,253
01-04,"الرازي",cbe606f7d3527c7c340759249dd2f80d,3885,18,9
01-04,"الرازي",2269c965cacb60aa10ba9fba6b32e4c1,3880,20,1
01-04,"الرازي",4b3e218a9bf2831ec66446d6ea8b66e1,3877,2,25
01-04,"الرازي",3acfcaa466f2679aa306868e3bf5f9b8,3867,2,81
01-04,"الرازي",cdb3d27c8f7252d0f64ee80081b3bc73,3856,2,114
01-04,"الرازي",8a2f620193ac153d483bb0a8837f63a5,3855,4,59
01-04,"الرازي",910e9d0142378ea5abba7ee4b2655890,3849,109,1
01-04,"الرازي",55c710fdd6a866367c88f6f0977faefe,3845,24,2
01-04,"الرازي",94ede89e5cc0c17e0993fc624c57df11,3824,20,36
01-04,"الرازي",15847e214c35742f5a80e72feaf8f2c7,3821,46,13
01-04,"الرازي",13da091478291f4d56d2b098417047c3,3813,6,1
01-04,"الرازي",296b014937ce8b0e9b51578444fec2c5,3790,20,25
01-04,"الرازي",dd336ee72766e0eb135915a6a1291166,3763,2,219
01-04,"الرازي",55b698778c55f72070e72e3a9fb43687,3763,2,263
01-04,"الرازي",8e1b909cf6b9f240a60c83b0de23f77f,3750,2,217
01-04,"الرازي",89a453a17760b0aab14811f809cf7903,3743,21,78
01-04,"الرازي",d598df1c83915fa118413e9b6496a2d2,3723,2,3
01-04,"الرازي",73a26ab3d5049dc66f16b043236cabe1,3720,24,6
01-04,"الرازي",bf6ef887da3a66ef6f0d54667e7587ee,3718,2,248
01-04,"الرازي",e67170719b245bda181a7a54294cb4f1,3707,41,9
01-04,"الرازي",034bc43befcbef8fbae79c14393e5823,3706,6,125
01-04,"الرازي",7f85b999932caa6239c89e5fe3a953b0,3693,7,55
01-04,"الرازي",4f3d58ab37e05298309f77106843acae,3680,19,30
01-04,"الرازي",d5536cdeb81cd7d1708ba0a4a760aae7,3604,22,52
01-04,"الرازي",5be94c870c4119c5a875567b05b53cb3,3568,42,20
01-04,"الرازي",9f51115506bd326125984ed952683d36,3553,2,106
01-04,"الرازي",86bab5b5e84c1619de1095f1252e8e51,3489,9,102
01-04,"الرازي",4f2f232a42fdca0a0a4f2748cedde303,3481,38,71
01-04,"الرازي",8ad4c3a2909015fe67008ce1a839970b,3480,2,125
01-04,"الرازي",93910f47efb32c768157fdd4cf12c919,3478,4,25
01-04,"الرازي",23c83c090aaa02bdbe84c7ba65172963,3476,2,186
01-04,"الرازي",3e1a1c84739cd729a625fd71e4528954,3469,2,37
