author_id,author_name,text_hash,words,sura,aaya
02-11,"السمرقندي",aa2a0e6385dfb3ca5926006a53263420,2260,5,1
02-11,"السمرقندي",d965d0ed9097a004976d33f7d529b397,2101,8,5
02-11,"السمرقندي",9c2ff62fc3b91df4e8fcabb9bb423713,2094,20,37
02-11,"السمرقندي",d1daf9d0527ec30307a3514968b20676,1805,2,196
02-11,"السمرقندي",6f4f6cfa26ebdd5fbe6bc79685c14144,1791,1,1
02-11,"السمرقندي",7c2d7ae8f1950b635f876d95fba73bc6,1782,3,138
02-11,"السمرقندي",236986090cda62486f8db5573261054e,1771,2,183
02-11,"السمرقندي",1fda7902868888acd1b9c58d7ab941e7,1754,105,1
02-11,"السمرقندي",29144cc3e46b336fbc5d9b596235659c,1734,2,246
02-11,"السمرقندي",9596bf43dfe0046a7bd6ac583be69cde,1626,33,23
02-11,"السمرقندي",1ce75e41c7cce668a744ec4c011d96de,1559,24,30
02-11,"السمرقندي",64fc6c8d8530f92bec970c8a3a752d2b,1548,28,76
02-11,"السمرقندي",0209f3cca6a895e32125bc662109311f,1511,7,171
02-11,"السمرقندي",018a03a7f9af5f098ded6820b9128308,1508,48,4
02-11,"السمرقندي",12cc585857a8a7fde5141d07288ff710,1482,31,12
02-11,"السمرقندي",d2eb13500feca43a1854c90bc032b3f0,1441,3,44
02-11,"السمرقندي",e9c7aeec7458443ebadd3b36011d4645,1432,37,99
02-11,"السمرقندي",538260073b5e67409ebf3d2ee8a435e0,1366,59,1
02-11,"السمرقندي",2ce001261114c400a1eec49a1264b598,1322,2,102
02-11,"السمرقندي",95f36559771873620df412b087352676,1320,24,11
02-11,"السمرقندي",3e1a446e935bac16aa38b637e8e91413,1310,7,100
02-11,"السمرقندي",21f53df42872ffa52e218a19122a1b53,1297,33,9
02-11,"السمرقندي",a7de226736c1dd0c77c62c83a050e3cb,1285,18,11
02-11,"السمرقندي",ffdbae4e50dd30698d9887583d469b1d,1280,3,102
02-11,"السمرقندي",c93e85ef8855e8e7ee7b7f865188b7ef,1266,9,118
02-11,"السمرقندي",49c969a7e1b71ff890040c8e98dd58bd,1264,3,187
02-11,"السمرقندي",db7a7db8c6d31a77b6fe81f134b873d9,1252,4,24
02-11,"السمرقندي",e7fc322443813d49627fd538bd3b81f3,1235,7,163
02-11,"السمرقندي",6e85e5cf728beefb44a91d2420b19f03,1234,2,227
02-11,"السمرقندي",a7a488ec350e5025058be83e2eeaf926,1224,9,8
02-11,"السمرقندي",1a5b10f2e7d05c7dbdbd7f4b9d7d0897,1209,38,21
02-11,"السمرقندي",a0e57be2844aec89bf0b1a6d0c854d05,1168,9,40
02-11,"السمرقندي",b3ce1241df923f229d5a217460da16e9,1147,65,1
02-11,"السمرقندي",8564307b484cf3cf4519bd4d07e1e7c3,1135,7,132
02-11,"السمرقندي",cedf9779f0cf9c48e8f6addcc4a9993f,1132,5,12
02-11,"السمرقندي",9bc47c853b09c6674d5cd8bde09b5fb9,1124,85,1
02-11,"السمرقندي",ed2247f8d7d484122b2c124104d5ebc5,1108,4,11
02-11,"السمرقندي",e3da92257c00ff92560a486e08c56d6e,1096,6,136
02-11,"السمرقندي",a40c6a5f6c9be65843efcfe9a80fbbc8,1095,2,285
02-11,"السمرقندي",c2fe8e16b370bdadd0ee98df2e64a653,1055,5,87
02-11,"السمرقندي",ba903c01b181e929a0bbc1fe3980d7f5,1045,35,31
02-11,"السمرقندي",7ebf02d2c54b549d70b74bda24c137e2,1025,5,20
02-11,"السمرقندي",90c56ddfe3f24a2d8cc34d295ee27332,1003,19,56
02-11,"السمرقندي",8bfe4f9df218714569ffba6412a3096f,991,74,11
02-11,"السمرقندي",1d601d7ce9a43957f9226c89c8fd845d,974,21,80
02-11,"السمرقندي",62d81f2e22c57b08942f55ab2e11809e,973,5,6
02-11,"السمرقندي",a40625e9c3cb7aba9aa3ceb76b708477,953,2,282
02-11,"السمرقندي",43f1898f07d22b4bc2fe5efe8f623dff,952,7,179
02-11,"السمرقندي",1a2b8dd91f8536881f70fa8edc31bc34,939,4,32
02-11,"السمرقندي",b841ebf07b23a1e1926857dad78b93ee,930,2,67
02-11,"السمرقندي",008fcc24fbab74f845c3d2fa858c91a8,928,2,275
02-11,"السمرقندي",dcf7609766ae61ca37a0bb0da82ca93c,923,7,85
02-11,"السمرقندي",83564b5180c7de2ec55041ff9e244560,922,46,29
02-11,"السمرقندي",10bfc4c5e35666dce9b129e53b90872f,915,9,24
02-11,"السمرقندي",65aa58c0017ebcedaf3276e27d2f940f,915,37,114
02-11,"السمرقندي",0db664f473f7d336d03838d4f21623e8,907,2,1
02-11,"السمرقندي",12b8c165a39da122a06a54c93b389aba,896,33,51
02-11,"السمرقندي",aae7c65a387286d709f93e6c81d17a6e,893,76,15
02-11,"السمرقندي",bd011ab56455bdc74ae8148bfd8630bc,882,24,6
02-11,"السمرقندي",e3155ec960e4ce74bbf1b9f00c7b76ac,877,37,71
02-11,"السمرقندي",289eafece6f8d3878a986658e2d215e4,876,33,40
02-11,"السمرقندي",f0b5fae43a742ebc54a1d4d34ff97780,873,5,106
02-11,"السمرقندي",f337212a0f001cb857d4db4b80a14250,872,13,15
02-11,"السمرقندي",8554c02e985f779d6d2348a6e3d6ebf3,859,7,26
02-11,"السمرقندي",6ab68470fa79f59eea40a68400e110d0,858,5,40
02-11,"السمرقندي",6c3b240290ec3a64b0eb2d90ffd6a776,852,38,30
02-11,"السمرقندي",c2d85f596dcab2d8b82b47b67332864c,849,11,77
02-11,"السمرقندي",078ce959e929d3951749a7f93396be33,849,24,60
02-11,"السمرقندي",28d9c5f4c7e7b77805583b13e8202877,848,4,4
