author_id,author_name,text_hash,words,sura,aaya
01-08,"المحلي و السيوطي",084364a2d794c1382f75de6e6095e8fe,359,2,282
01-08,"المحلي و السيوطي",f2bde9d47f0dc5b90c68b47af9602f91,321,2,196
01-08,"المحلي و السيوطي",80907e72f7268c6d80bd84d27ff64fda,287,24,11
01-08,"المحلي و السيوطي",0651e468f13fc66d6d82572475bff77e,276,2,102
01-08,"المحلي و السيوطي",bc8f757b6fe8efce88340e37f3bd11df,272,5,107
01-08,"المحلي و السيوطي",7df5a041542a9cf0384c9070099cda09,262,4,11
01-08,"المحلي و السيوطي",05303f0428b852563e5fdda4b8417b15,235,73,20
01-08,"المحلي و السيوطي",fb913f804f0e4d569994d18b64425165,226,5,95
01-08,"المحلي و السيوطي",ee9cace30e41e6c1a43535f648537263,212,4,92
01-08,"المحلي و السيوطي",0f8b5a070f62f70fd99d02c4718931a7,207,4,25
01-08,"المحلي و السيوطي",5d1dd81af2dafbc68ac942956f2f4789,207,24,31
01-08,"المحلي و السيوطي",c5db49da320bbb6faf337609461534e6,203,5,3
01-08,"المحلي و السيوطي",ff1645cac401e869d5047bddd0471d98,199,17,110
01-08,"المحلي و السيوطي",159ac860816bd4d6b4e882a5453920d2,194,2,187
01-08,"المحلي و السيوطي",6df001f83767f26965f3736858a0c8d1,194,3,154
01-08,"المحلي و السيوطي",a266e1a0f86d3bb4fd4cd90b8d80eaf1,194,4,12
01-08,"المحلي و السيوطي",3a6282fad6b820bb30a5908db6b549b7,193,2,178
01-08,"المحلي و السيوطي",c0f31d90a252dde1c775dc7fa6c0e74e,192,4,23
01-08,"المحلي و السيوطي",e1003f94a192595676a26039b5289acc,189,5,6
01-08,"المحلي و السيوطي",21d023123072c99be37deb4f1335372e,185,2,259
01-08,"المحلي و السيوطي",abaae3864009b7f352eaecab0c42b6f3,177,9,60
01-08,"المحلي و السيوطي",a49537f1e5b8683ed63dca03952be496,176,3,49
01-08,"المحلي و السيوطي",4e7e42c08a8948a5de61d4061a287330,174,4,43
01-08,"المحلي و السيوطي",3c61380c1534dbcc6052d4e5a55456ae,174,48,29
01-08,"المحلي و السيوطي",29bc7a512579028e2effdec23dfc56f2,169,2,286
01-08,"المحلي و السيوطي",f84c1091b5d65502e5ad7e2204785395,165,18,65
01-08,"المحلي و السيوطي",42596abc89253fe8b76709adc82745a0,162,2,228
01-08,"المحلي و السيوطي",5f401b3decc253e82910dd5f09bde237,162,2,233
01-08,"المحلي و السيوطي",9e2f2cc2316d0616387c61f460b9eb15,160,2,217
01-08,"المحلي و السيوطي",a59019371dc49a5e4fb327a7b609654b,160,3,37
01-08,"المحلي و السيوطي",9d10f0774e6180fc56309f62e5336177,158,2,143
01-08,"المحلي و السيوطي",41c24b7e84e7a635d781f6bef0cf3b41,158,24,61
01-08,"المحلي و السيوطي",9ad126628641cca66c6aa553ed6824db,157,2,184
01-08,"المحلي و السيوطي",ece193bb748304db2d535b5fc1399457,156,2,85
01-08,"المحلي و السيوطي",dd289ddba724635708cb7dc8b729a2fc,156,4,102
01-08,"المحلي و السيوطي",0b23441426347d936587302362e9380a,155,5,89
01-08,"المحلي و السيوطي",8a675273689858b395a0f747c6d5f1c6,154,46,15
01-08,"المحلي و السيوطي",72140b4294ac96f1530df90c04c0ab70,151,5,41
01-08,"المحلي و السيوطي",6005d618b458685b7f7df9cbf8658cdf,150,3,9
01-08,"المحلي و السيوطي",90bbf2f8c43ebd498c980968e0ba8337,149,23,27
01-08,"المحلي و السيوطي",537426450784525691323051540f013e,147,22,5
01-08,"المحلي و السيوطي",214c22a28263a61003517a03ccfdffde,146,9,40
01-08,"المحلي و السيوطي",9f41ac01b42af8cddd0f28b2e5adfcc5,146,9,108
01-08,"المحلي و السيوطي",0bf5d5bdda7f921a09993562fa6b41c9,145,13,31
01-08,"المحلي و السيوطي",32ca9536f6f481c9ba4ed66f786ac47d,145,47,4
01-08,"المحلي و السيوطي",5c528bbf8add99c415d58c0daec4b6e8,144,60,4
01-08,"المحلي و السيوطي",92b1d428d66cb5365b66cce09e7a4169,141,24,35
01-08,"المحلي و السيوطي",f6a9a45a37e9e255a1195dd48d91fe81,140,5,2
01-08,"المحلي و السيوطي",46f84c37dd0ae0fc170f6cc8f1edf1f4,140,60,10
01-08,"المحلي و السيوطي",3886a0553f0e44b911e7a7041f953adf,139,33,4
01-08,"المحلي و السيوطي",cb96508f7d62addcec54225a8c163839,138,2,249
01-08,"المحلي و السيوطي",efa474028d3dddfb8263ce82e860e5ba,138,24,58
01-08,"المحلي و السيوطي",2d00527224da011713117c215e256af1,137,2,30
01-08,"المحلي و السيوطي",c5f633c94a004e7b6d2b4fba3fa49d84,137,47,15
01-08,"المحلي و السيوطي",26907d450ac9d3a4a79a8fdb005215c9,135,60,1
01-08,"المحلي و السيوطي",6ace605533d503737a4522612a91d0b6,134,2,25
01-08,"المحلي و السيوطي",509ded4385624fda851de7445834d812,134,2,158
01-08,"المحلي و السيوطي",757afa19b820d85018a660d8c708aefb,134,5,64
01-08,"المحلي و السيوطي",1bb6e4c3d3f4f4d2069f89245b143809,134,74,31
01-08,"المحلي و السيوطي",1c2c9df6c4a5a96f5c3ca33e5f3796fa,133,4,176
01-08,"المحلي و السيوطي",83b44fdde80433dec33119f5b11ff46f,131,33,50
01-08,"المحلي و السيوطي",d0caa3b9eea7735429810ac39efe5383,130,4,128
01-08,"المحلي و السيوطي",e18263ea8ac6e40108a159d18993dd76,128,3,7
01-08,"المحلي و السيوطي",c7b8aeb173a89d8b97341b3790e52a09,128,5,26
01-08,"المحلي و السيوطي",94d3cd5207cc237fb5a7d22733bc4b67,128,6,99
01-08,"المحلي و السيوطي",00d2b718e25e94e5916eaed27682059f,128,16,92
01-08,"المحلي و السيوطي",8287872c37f779600971ce89ab51957a,128,24,33
01-08,"المحلي و السيوطي",d101876397143f52c4fcc4c29b3e7a2f,128,27,40
01-08,"المحلي و السيوطي",bbcd6ea9f348a59322b90f65f1a8c01b,128,28,25
01-08,"المحلي و السيوطي",25b22c7ec117f59bd502ac5d86064195,127,5,33
01-08,"المحلي و السيوطي",203f94c5f7b861e757cfb84781780af5,126,2,61
01-08,"المحلي و السيوطي",c0b13e49ec28f1516a3300a8c4fdb56d,126,5,4
01-08,"المحلي و السيوطي",9371de877fcb5f98a526204ab06879d4,126,27,44
01-08,"المحلي و السيوطي",d23a903f75923c390f8301482796572f,125,4,58
01-08,"المحلي و السيوطي",21c47402a91db01b4bdeca7c7acca6f1,124,2,173
01-08,"المحلي و السيوطي",a0fbb431468cbb4630a319a665dea568,124,2,229
01-08,"المحلي و السيوطي",053be9c3238adc5984eeb0d1848ac94d,124,2,255
01-08,"المحلي و السيوطي",1a41cb7cfd8e1a36402250497412a296,124,3,61
01-08,"المحلي و السيوطي",3a6c52111ac042a9ad96b4e688f18e36,124,4,94
01-08,"المحلي و السيوطي",92d990d81ec1b262205ae4fffe960c60,122,2,165
01-08,"المحلي و السيوطي",0af67e545210223a7d7ab14416169316,122,3,152
01-08,"المحلي و السيوطي",66f5292eb9438868ad87b9506349edd6,121,4,19
01-08,"المحلي و السيوطي",1309597794ce550c60bf6c5a9e433499,120,2,246
01-08,"المحلي و السيوطي",3480d99ef82ba6ef78524f6c55e771eb,120,13,17
01-08,"المحلي و السيوطي",7fb67c3f2275fd8a91fedf802654a54f,120,18,22
01-08,"المحلي و السيوطي",4940cd2b7469d8834babc4baba796c01,120,33,37
01-08,"المحلي و السيوطي",c7eb38155ffa4ac238990be838bbb10d,118,4,24
01-08,"المحلي و السيوطي",16e7bd87f348130e34f966dddded8cac,118,4,77
01-08,"المحلي و السيوطي",bc472af000abaa212c056535268e7f94,118,8,41
01-08,"المحلي و السيوطي",e57e60ecebcbde5c6f965f81dce190d3,118,12,100
01-08,"المحلي و السيوطي",95013e36741965d2e8ef51107dfd0b49,117,4,171
01-08,"المحلي و السيوطي",dbf438effa6e0dc7374a5e8824f61ee4,116,2,185
01-08,"المحلي و السيوطي",7560ca5dee3f100c802753a4a723f118,116,7,143
01-08,"المحلي و السيوطي",9d4ff6fdb9bfe22c3057ec46b28dc648,116,48,25
01-08,"المحلي و السيوطي",772633ec618d8b5b1edaafd4d9ec232c,115,2,253
01-08,"المحلي و السيوطي",9f81e594be797d338c6e4f9f7eeb7618,115,4,93
01-08,"المحلي و السيوطي",25b6a522b3e02d61570e6f4c8fc778e1,115,7,155
01-08,"المحلي و السيوطي",41d107e771a08faf60278d47bb07f962,114,2,26
01-08,"المحلي و السيوطي",6e9df921fb52ea8842769ed5c089fe67,114,2,248
01-08,"المحلي و السيوطي",faa095a2d9d3d98940059ff9c93bf403,114,3,73
01-08,"المحلي و السيوطي",f46fc18a59349274bf8a9eae6e27caf4,114,4,6
01-08,"المحلي و السيوطي",f0e024a7268590b3561f4324864ed530,114,5,106
01-08,"المحلي و السيوطي",7f57064aded376edc1bcddb48c0084b5,113,22,52
01-08,"المحلي و السيوطي",e9d66cc29d979cfdfb18cd4d39791c81,112,8,5
01-08,"المحلي و السيوطي",384a2a3b3d63b7dffd76d4b09351f59c,111,6,91
01-08,"المحلي و السيوطي",67d364dacb9ef9fcd90d2642bfc2bc77,110,5,103
01-08,"المحلي و السيوطي",23425d36e392a46388ca08cb8012705d,110,5,110
01-08,"المحلي و السيوطي",36f3366e95b94ab90f73c0e815029a9e,110,33,53
01-08,"المحلي و السيوطي",fe6ac596bb8caf9dc39869e86f034bd6,109,2,235
01-08,"المحلي و السيوطي",8ce70a1fcb309d1269a1c122c35c0c1c,109,46,35
01-08,"المحلي و السيوطي",726151890edebd6588be195923f9b7ea,109,59,7
01-08,"المحلي و السيوطي",b44be7408aa280a9bc9687bc41d34ab3,108,2,177
01-08,"المحلي و السيوطي",820df017fe0a361f1353bb1f339bafc6,108,2,243
01-08,"المحلي و السيوطي",aff737b57392f5640ca7432baa453ef4,108,11,40
01-08,"المحلي و السيوطي",6a7cc7ef6927de9e1da7293e9765e34e,107,4,46
01-08,"المحلي و السيوطي",0d3ffd962de283eb483086851dfe70e5,106,2,260
01-08,"المحلي و السيوطي",41efe0fb80b0f59173761378c1b44041,106,3,183
01-08,"المحلي و السيوطي",e108b9477695f4db373dafa76439bbf6,106,9,74
01-08,"المحلي و السيوطي",a9619a02ac85f601b351019d347981b3,106,34,14
01-08,"المحلي و السيوطي",a7270e0a7d92a3ba127ec98282f46d42,105,3,195
01-08,"المحلي و السيوطي",6f89a0bc2b88a0467b2755ee6076c831,105,4,83
01-08,"المحلي و السيوطي",b24838dde6fd85d15c63250213042ebc,105,33,36
01-08,"المحلي و السيوطي",efcd636057f7630a23e5e199fe49d2b7,105,45,21
01-08,"المحلي و السيوطي",3c9edf2e0dba8d561814443dd0aacc4e,105,49,12
01-08,"المحلي و السيوطي",14a369b2d31859284d4f2c29e04ec90a,104,2,283
01-08,"المحلي و السيوطي",90bb2f17178775ca87be7d00b5256e9e,104,4,34
01-08,"المحلي و السيوطي",a549b52ebd7daad4bd7229455b981770,103,2,219
01-08,"المحلي و السيوطي",94ba585dad8cc79d62c40d6a336fe0b0,103,6,128
01-08,"المحلي و السيوطي",2c828dcc37f8eb19316b1ebd01019cf6,103,65,1
01-08,"المحلي و السيوطي",602d050a7f470cab3d86bb98b77b726f,103,66,4
01-08,"المحلي و السيوطي",c9abcea10671196de1fcc9247d1d55a4,102,2,189
01-08,"المحلي و السيوطي",dd0903f19563f76af12a936d998f35d0,102,2,213
01-08,"المحلي و السيوطي",7dff19fa6be3a956e0bf19b72b78425f,102,2,266
01-08,"المحلي و السيوطي",676b4a16d22ebb65c49208ab473767bd,102,2,275
01-08,"المحلي و السيوطي",db9879f333bb7f70246a6c9767d4d070,102,22,78
01-08,"المحلي و السيوطي",80dc71a4575f39d361551dbda65c8b25,102,28,15
01-08,"المحلي و السيوطي",153eae965d8a12f2b588889655147aaa,102,33,69
01-08,"المحلي و السيوطي",fbee3f641731934d57c62d3f48c8525d,102,48,27
01-08,"المحلي و السيوطي",cd3e30e8105e561ce6bdaa2b7848acf6,102,61,14
01-08,"المحلي و السيوطي",1d4cf2880fc8c79f679e5ae48269f23c,101,2,221
01-08,"المحلي و السيوطي",70c3a8f43653c8f7677eac278620b77c,101,5,48
01-08,"المحلي و السيوطي",749da973f1e2da1b7a86153d87123215,100,2,126
01-08,"المحلي و السيوطي",522427d5390dc1a75ce52012ca0e5d5b,100,2,144
01-08,"المحلي و السيوطي",be236d53430dda9076cdc56fa8d292bf,100,2,150
01-08,"المحلي و السيوطي",a65b773125b2ceba4730918bce4f06aa,100,5,97
01-08,"المحلي و السيوطي",755163f36b8a71c79ba30770833d28fb,100,7,169
01-08,"المحلي و السيوطي",f3063bcb2e0750c5be53c35972793926,100,24,55
01-08,"المحلي و السيوطي",5a2dc02012b7a06bf547d6e887ff6183,100,59,2
01-08,"المحلي و السيوطي",35b933df8359714f5458ed3a358f5f19,99,3,97
01-08,"المحلي و السيوطي",ec281c5011ac8cd2d564bab02c9160a9,99,13,16
01-08,"المحلي و السيوطي",0e434899796b1586cf218168994b2d50,99,48,11
01-08,"المحلي و السيوطي",e32369b277cac00feca48b01ed80fea4,99,60,12
01-08,"المحلي و السيوطي",d359a954fa93b8a9ef836fe595e10d54,97,2,258
01-08,"المحلي و السيوطي",9425d638aa02dae5fb440c52c92b8b12,97,4,1
01-08,"المحلي و السيوطي",216c37caf24bbef605bab60f353dfbd4,97,4,90
01-08,"المحلي و السيوطي",4aac63a8435d401dfc4888b0d90426a4,97,17,111
01-08,"المحلي و السيوطي",6c0083b2c01c00435309fb63b621f777,96,4,157
01-08,"المحلي و السيوطي",ddae9ce62430c3a9eaa9dc803a44ece6,96,6,93
01-08,"المحلي و السيوطي",f322e112e7a7e2d1e6584497dc0cb709,95,9,25
01-08,"المحلي و السيوطي",a74b89944d026c9a7c2026ae8fee9de8,95,16,69
01-08,"المحلي و السيوطي",7ce17db0ea182df2276a2fff891f185a,95,28,32
01-08,"المحلي و السيوطي",96d14d78d45f632906b677370ce87cac,94,2,232
01-08,"المحلي و السيوطي",3c6c51fd446596dff97a61d43f8a6d0e,94,2,264
01-08,"المحلي و السيوطي",a1ffd7965377ef385115dd16cc6a1f53,94,4,16
01-08,"المحلي و السيوطي",3863303454daf1beb2be69a68537f5c2,94,24,2
01-08,"المحلي و السيوطي",a7757b1f7bc104da632055cf20eef5d6,94,65,6
01-08,"المحلي و السيوطي",c9f2b87ed7611a84760fecf4252a1afc,93,2,19
01-08,"المحلي و السيوطي",e425611351b56d48e2cee3121d792a8b,93,2,93
01-08,"المحلي و السيوطي",735924a6b8f2207116f3f22c41e80968,93,2,106
01-08,"المحلي و السيوطي",6064c862af2e39a7b2abdc374f851aa5,93,4,75
01-08,"المحلي و السيوطي",776ac04a3e95ae42868fc223b7af3863,93,5,54
01-08,"المحلي و السيوطي",239a2b4e6f52ad44e79ceef7afdea313,93,7,176
01-08,"المحلي و السيوطي",98ff8be9ff26d06b31f418997365d172,93,7,190
01-08,"المحلي و السيوطي",52ff6a98cb3a08eb626f2183b316b6c4,93,8,48
01-08,"المحلي و السيوطي",aed15ddebc12598d21fe9b7a176f4a26,93,12,76
01-08,"المحلي و السيوطي",964429d498e4a28d0b7318a21429662d,93,13,33
01-08,"المحلي و السيوطي",2c752662a9a4e0be3bcabb112dd65eef,92,2,164
