author_id,author_name,text_hash,words,sura,aaya
02-20,"ابن عرفة",081091b3933957643298137a72fb76f1,1848,2,282
02-20,"ابن عرفة",28043806d753c5f272021d5d4b68ba5e,1514,1,1
02-20,"ابن عرفة",45a4e04d2625fe0d211dba70794c4cb6,1436,2,255
02-20,"ابن عرفة",95ed8882978ba1c9f24f2e3320049bee,1375,2,25
02-20,"ابن عرفة",59e7e4896ec895641bc527e543de61f4,1246,2,286
02-20,"ابن عرفة",b8cfbd5aa1f191c2bb028b924d173b35,1161,2,26
02-20,"ابن عرفة",b2ce7ff1a72aab3f4a1689d98d710365,1145,2,200
02-20,"ابن عرفة",c5e5c767ffe32dd8e542a57cb195b63c,1142,2,164
02-20,"ابن عرفة",00887189754869297c58a376d7b1331f,1036,2,185
02-20,"ابن عرفة",2a71332eda6d6d136d6a3bd92d157ca8,991,2,221
02-20,"ابن عرفة",d681c901f21a163d8db5daa55d419abc,957,2,31
02-20,"ابن عرفة",0166c8aff3bde32c6d3cf0f0e975ef51,949,2,233
02-20,"ابن عرفة",868cbad418fa09e7a1bdb848622412bc,921,2,28
02-20,"ابن عرفة",a496f945bdeb8904541de4bc98c190be,918,2,61
02-20,"ابن عرفة",d87bd5e34c4806059cf7e4988a513f9f,915,2,49
02-20,"ابن عرفة",5470bd1369213a063167d26b7b55227c,891,2,106
02-20,"ابن عرفة",7d8b3fe1ebb03fd8af1e61fdd91f1771,888,2,20
02-20,"ابن عرفة",9cc316423658edee5a29581295064fcd,852,2,235
02-20,"ابن عرفة",8576628a9c966e7db21c0cadaa962cad,837,2,186
02-20,"ابن عرفة",0415940e5a823007360104f9a10172a3,822,2,249
02-20,"ابن عرفة",a6c6eeb26b9b1ac2139599f7c49c1363,817,2,229
02-20,"ابن عرفة",5c1555697c9e4361f3aa775ab7ef2485,811,2,196
02-20,"ابن عرفة",35c6bf039f8188a66085cb44a7daebfd,775,2,284
02-20,"ابن عرفة",090da22643e88d2e31b7bd1ca6a2d4ee,764,2,163
02-20,"ابن عرفة",51010a3320f534fe85a57d6936eac88f,759,2,197
02-20,"ابن عرفة",77b06a3177f8102d34af9167b269f74d,755,2,217
02-20,"ابن عرفة",0f3974ac7b7053e9655ed3f1ec8fe79c,742,2,29
02-20,"ابن عرفة",6a166cca71a6cd5e693764d5321f851f,738,2,260
02-20,"ابن عرفة",5d68fcf1118e670c60e258f5f7064263,708,2,23
02-20,"ابن عرفة",b44d96fc59fc66c1faa468f8ab5c0830,705,2,178
02-20,"ابن عرفة",a975e0cd1747ed8f97bc75591ce0591a,697,2,7
02-20,"ابن عرفة",af4190bf2a4b9a9d9bcca5bdef153211,696,2,180
02-20,"ابن عرفة",8f9c7b0b9beb26e6595f60b818021ab8,693,1,2
02-20,"ابن عرفة",3d7a4a02f94558b979db9a685467d812,687,2,285
02-20,"ابن عرفة",510e7c4de1a92e96f791666a25844657,679,2,30
02-20,"ابن عرفة",0f7f5819c1490e7fbfcf8b75da865230,669,2,177
02-20,"ابن عرفة",326a74f185cd73bd7dc40a39dc1f92cc,668,2,184
02-20,"ابن عرفة",a9f41602c644c048f3eb54d0197f5174,666,2,58
02-20,"ابن عرفة",023d35f8a03055f9dc2dd25fc88b06cc,649,2,79
02-20,"ابن عرفة",87a61c1372c19b04a8c9dfc009153442,646,2,65
02-20,"ابن عرفة",390ca3620187ab18bef148bfdc393755,638,2,136
02-20,"ابن عرفة",fded77bf27cffdbee5c4e94c9feb0129,631,2,199
02-20,"ابن عرفة",3060ab18ace5c9de21892e6eacda4237,621,2,22
02-20,"ابن عرفة",d84fc8e3a4d034cd70eea63056de5006,617,2,6
02-20,"ابن عرفة",1fd54ce3b6988654feebcfd426c7e849,612,2,34
02-20,"ابن عرفة",dcfd28371d518d9e10c471f8339cde44,610,2,33
02-20,"ابن عرفة",07f077d00390b14737cf800d85a6a450,610,2,253
02-20,"ابن عرفة",4656b9a9262a7dae5a0114dcfb4197c5,610,2,274
02-20,"ابن عرفة",154d6937b9e3669d9a81f86249d3eb6f,600,2,24
02-20,"ابن عرفة",1db660478e19f70a981fcd4daae53033,587,2,102
02-20,"ابن عرفة",c21dc715df3da0800f552fa322ad76d9,582,2,219
02-20,"ابن عرفة",57eb875fdd96315511b590972431b300,561,2,35
02-20,"ابن عرفة",0be9d25c3be490f8b4b5e4658ae4e661,560,2,272
02-20,"ابن عرفة",a2323d18890af5ca1f3c2d756a3b591b,559,2,213
02-20,"ابن عرفة",bd6f6ded5db4b1dd63f0b00702450829,558,2,19
02-20,"ابن عرفة",4afb30950098b151cff55546fe91ffa6,533,2,222
02-20,"ابن عرفة",ebba9c8b4648fe92352598152544766e,533,2,259
02-20,"ابن عرفة",e361b646661b8ec003755e1092081a2e,532,2,173
02-20,"ابن عرفة",f995335db6dcff47fb1a135a6b05c790,525,2,97
02-20,"ابن عرفة",8d663587148668741d5ad137563d2932,518,2,27
02-20,"ابن عرفة",57a36654938e7078fab0b759f026364a,518,2,145
02-20,"ابن عرفة",854178cf0484f4460d1eceb7668b35f4,516,2,74
02-20,"ابن عرفة",5c1f41a717d4b3b9df4c4760cf60cc51,510,2,236
02-20,"ابن عرفة",21421f91407ba6e98044425a80963f35,509,2,216
02-20,"ابن عرفة",99206c3f913f3d9877e3d3edf371d56b,495,2,13
02-20,"ابن عرفة",464398a1a4e504ba8ac41785b5632bb4,492,2,18
02-20,"ابن عرفة",572e43bd10bfda0558aa345b9c6f4877,489,2,228
02-20,"ابن عرفة",c41494b9d9e0f30aaa3ce369de74e1c7,478,2,133
02-20,"ابن عرفة",960a508d4e286761be68eaad9101c7d2,476,2,71
02-20,"ابن عرفة",4e7ab5703e57ca8f787801f91f523faa,472,2,21
02-20,"ابن عرفة",3c0960c933a61f6beadb302697f9e0ec,471,2,187
02-20,"ابن عرفة",cb3b8b5f97c499be6e6db379b3cccd2b,469,2,144
02-20,"ابن عرفة",3f07c481e012c0919c0a7e4ade152bca,462,2,214
02-20,"ابن عرفة",a0da77050bac0f746997d719451ec8e1,459,2,72
02-20,"ابن عرفة",5975ab658c39848a4d2e9813410c4912,458,2,8
02-20,"ابن عرفة",6335171fc978935be5a08912df06a7b8,455,2,9
02-20,"ابن عرفة",e496d442ee6a15d4fd39698dbbb4beb2,454,2,16
02-20,"ابن عرفة",bcb038b133f8c18f8ae565225b4a084f,448,2,251
02-20,"ابن عرفة",651c5b7b72a98c38e2ad69dc757f2372,441,2,87
02-20,"ابن عرفة",2b134a2978d5627feb69c05e6982479b,438,2,159
02-20,"ابن عرفة",568644acdd13fefd3ceab7c08bb030ef,420,2,208
02-20,"ابن عرفة",dbb5bf37100d35f383c185f1e483c10f,414,2,158
02-20,"ابن عرفة",1a69cc9d778a46acd736c9c9008ec031,410,2,170
02-20,"ابن عرفة",3a2529be6eb5d59e705cc19dea9d4707,409,1,7
02-20,"ابن عرفة",a7f4504f344f323e8ac025baf44138bc,404,2,161
02-20,"ابن عرفة",471aa6a9942dda8ebb2c16837f127a6a,396,2,47
02-20,"ابن عرفة",3a27c7f759952e450fce3d813157c07a,387,2,85
02-20,"ابن عرفة",af562a6856dceaf50f54398e27f5f514,386,2,256
02-20,"ابن عرفة",005b50d5f98d198a119b50e7cb601d05,377,2,100
02-20,"ابن عرفة",8d00b3a90c1b8c3417ba1f896a432bad,374,2,198
02-20,"ابن عرفة",56ce3b718273cc4743272304859efdee,369,2,118
02-20,"ابن عرفة",ae0eceac9e4cca6ef64da10f5b0b1774,369,2,275
02-20,"ابن عرفة",79c488a009955bd3831f6ceb8a90e5c4,368,2,36
02-20,"ابن عرفة",425ad3961494193f59a54f746d7f3351,366,2,59
02-20,"ابن عرفة",ca409c48cd8a0896866a1e9aa070b35c,365,2,246
02-20,"ابن عرفة",bd9c6f70679dac89faa9ebaa00b4903e,364,2,234
02-20,"ابن عرفة",99b9c187d44200fb85b9650c1f0671ed,361,2,280
02-20,"ابن عرفة",fad03d33fad9c67bdd304343771e7388,360,2,247
02-20,"ابن عرفة",6fbcabd137c3e100f645f09308c93204,360,2,248
02-20,"ابن عرفة",d0e057135f5520abc57d263181d7a8d4,354,2,81
02-20,"ابن عرفة",d1701e7b2bb42ab80a8c6a8f6bf0b0af,352,2,17
02-20,"ابن عرفة",0f91882d20dbed6350170341de670f6c,352,2,175
02-20,"ابن عرفة",4874f221a4653073e7e70e6cc35d91d0,348,2,14
02-20,"ابن عرفة",8cf90ab01f5d6fac71a48315233b8833,348,2,63
02-20,"ابن عرفة",cf18915593d380a6a77927a41d012fba,342,2,262
02-20,"ابن عرفة",231106de72704c95371cda478514d4dc,341,2,48
02-20,"ابن عرفة",042e136e19392765fdf825ba4acbe379,340,2,124
02-20,"ابن عرفة",d642d5c2e18a22c1dea003723baad5a4,338,2,231
02-20,"ابن عرفة",22a0d0f74132d988ec92de4e6507e530,325,2,273
02-20,"ابن عرفة",c842affbc445536fa82025ca3f822305,323,2,204
02-20,"ابن عرفة",c705a03a1682365bef4693831c5273e3,318,2,283
02-20,"ابن عرفة",14782610dab8f86cf5338dd776e7e219,317,2,4
02-20,"ابن عرفة",060ab8e6efb279fe5160685b98ee6846,316,2,93
02-20,"ابن عرفة",20fd04e29966e7603fea0cb788985212,316,2,113
02-20,"ابن عرفة",086523aedd9115b8d2e0ac5a68837a60,314,2,125
02-20,"ابن عرفة",f6a30e56955d3b4785dee75b1bf8e3b5,309,2,76
02-20,"ابن عرفة",d5c025958e63f6cd65f693e6b924705c,304,2,230
02-20,"ابن عرفة",b2674e65095c1a42a2d4883dd1284f46,303,2,54
02-20,"ابن عرفة",fbaf35430d25cc0ef3e319234a9021df,301,2,146
02-20,"ابن عرفة",56c1375bbcc003552cc75bdb8c27075e,294,2,143
02-20,"ابن عرفة",8a1cba537a112e48355137339138e581,293,2,179
02-20,"ابن عرفة",a4fa9e2b171966b0e424c014f77feb4e,292,2,142
02-20,"ابن عرفة",00d27924e84511dc21ed204e007cce14,286,2,38
02-20,"ابن عرفة",6da96e0979362f78fb15de82532b5972,280,2,226
02-20,"ابن عرفة",4e125a22272edecef8414f479c206324,278,2,68
02-20,"ابن عرفة",e6b4cab5b11b5efb34c9a7f61d19a21b,273,2,78
02-20,"ابن عرفة",1a10e24472e238702f32252cca3e900a,271,2,150
02-20,"ابن عرفة",77c3d1f40751f3a4c043a1a662874245,271,2,191
02-20,"ابن عرفة",5dc64a25c67130b64748af08f36050e3,270,2,215
02-20,"ابن عرفة",15edcc311e9d27c28a5031c3110b8d9e,270,2,276
02-20,"ابن عرفة",41f124f42ff9e04b0daf20d104502b0b,266,2,220
02-20,"ابن عرفة",4be6fb830669d42e379afa35c3774351,263,2,15
02-20,"ابن عرفة",0148635afaaa9e2f608658cc5d83dca6,263,2,188
02-20,"ابن عرفة",7086040b3bef9e3679bd369ddf40e8dc,262,2,10
02-20,"ابن عرفة",cf27471b3c141ea5bf4ecc73e2edc357,257,2,232
02-20,"ابن عرفة",3dea5272a4bb3e66c452a201c7e9e391,255,2,80
02-20,"ابن عرفة",7334a30a3f5c5caaf5255b32963bb771,255,2,210
02-20,"ابن عرفة",d60d4727078abc1a0945065bc3a0ef92,250,2,203
02-20,"ابن عرفة",6408a8eaedcd83688b5ed60f2b51a395,248,2,75
02-20,"ابن عرفة",f412f8e2bbbe93223cd944cf956bdd84,248,2,218
02-20,"ابن عرفة",44937e3d7632f21663d79aae295fec74,246,2,189
02-20,"ابن عرفة",0132fc3de38812ee1a00d945c0ace4d1,244,2,167
02-20,"ابن عرفة",2ee5f3eb5fa950db28f8fa0ed4c76758,241,2,60
02-20,"ابن عرفة",43aed893e75f85886e9344a1737f1ecf,241,2,90
02-20,"ابن عرفة",d2ae2f23e45a75f7935d51f869a6d050,237,2,239
02-20,"ابن عرفة",69d547ee8937f0007394207741daa8a5,234,2,148
02-20,"ابن عرفة",d7486a33c7732fb4f0de92a135e990e6,234,2,195
02-20,"ابن عرفة",a69d922ba6b7cc8104705bf75664f287,234,2,254
02-20,"ابن عرفة",d231241094188cee25050dfd6676c70e,232,2,1
02-20,"ابن عرفة",2a3d289540463614ca8caba891ea4456,232,2,250
02-20,"ابن عرفة",b6c2e7aae236d0c6786608d6bf0c8390,231,2,165
02-20,"ابن عرفة",017ce8f7f08fb307ceda32a242b475ec,230,2,140
02-20,"ابن عرفة",0afeee472f9f50d2e182789f5d6b731f,230,2,151
02-20,"ابن عرفة",f404de55a5e4c0380e4842bd6d678635,230,2,172
02-20,"ابن عرفة",013517706f461e021cfca347e972dc5e,228,2,114
02-20,"ابن عرفة",0e5f1f24d93b8cb6749407b0eb8dcac5,226,2,2
02-20,"ابن عرفة",d57c83cdfdcbbbbdb92c25bbbca373c8,224,2,117
02-20,"ابن عرفة",507c188bb67faf26e1d23457d7222be3,220,2,116
02-20,"ابن عرفة",34c18d6d696b05f8a611ebd16a6d8145,219,2,243
02-20,"ابن عرفة",590eea81ed30bf3a396335685656ad1e,218,2,129
02-20,"ابن عرفة",1db21f096b1517e9cddb4b8ed478982c,217,2,11
02-20,"ابن عرفة",d9cbf8d5b727b9b34f52b491361c1271,217,2,171
02-20,"ابن عرفة",7f2b40777ddf47386fa0290718a419c9,217,2,181
02-20,"ابن عرفة",d18c2d712797a94fa29c458b93e4e821,216,2,89
02-20,"ابن عرفة",b3d5c0dd72f103a60cce9ab90f6428f6,215,2,271
02-20,"ابن عرفة",7a3e9d631a1bcc60f8b002f3dabbddd5,214,2,101
02-20,"ابن عرفة",968c0a6150846ce7a97256861463da65,214,2,207
02-20,"ابن عرفة",35a17c8c3bc04dded10405a7d6ce14cc,213,2,174
02-20,"ابن عرفة",1780690da330b7c213b6f3e460e48592,210,1,5
02-20,"ابن عرفة",896223108b07a9d2ced10f6eaff4fa6a,210,2,225
02-20,"ابن عرفة",b9eda21bcc5b8625f124d089bd319308,209,2,169
02-20,"ابن عرفة",4791bec3c2c587e03317735610e9581d,207,2,109
02-20,"ابن عرفة",9121049de26dfab420fed190756bd80a,204,2,44
02-20,"ابن عرفة",6546e261496c21ca736a6fe43db424c2,204,2,73
02-20,"ابن عرفة",0cfccb8ab31361ef446872a277d22fb8,203,2,41
02-20,"ابن عرفة",9d3a24e0f551f63fd7b8be0319ddca54,201,2,121
02-20,"ابن عرفة",7f0e326e0cdcf66f520453b1086e58d7,200,2,67
02-20,"ابن عرفة",348bd242b920bb31830700ad916a34d5,198,2,62
02-20,"ابن عرفة",3f0765496e34ee2c4e40176d21723b93,198,2,115
02-20,"ابن عرفة",9c6844cc8209fbdd6d704c2c69f2b676,198,2,279
