author_id,author_name,text_hash,words,sura,aaya
02-14,"ابن عطية",5ea8d2d6d7c4edf69b81580050811a0c,3919,5,3
02-14,"ابن عطية",2e60fb82bcc24ed29e45dac34840ad98,3696,1,1
02-14,"ابن عطية",e8f7aa8134db4a7dda94400b54d80f38,3050,3,72
02-14,"ابن عطية",f6a887f938c960bbd25d02a3c6e0c359,3008,2,282
02-14,"ابن عطية",0e5651ee42c0252c68849c0f3578fb77,2979,3,78
02-14,"ابن عطية",ab883aa18a86cd900f752f1e19947fa9,2692,5,106
02-14,"ابن عطية",8b8a3248a95157e25b3724f01e5cc517,2566,3,97
02-14,"ابن عطية",997f1bad51b53732576660ea3263ae0f,2484,3,144
02-14,"ابن عطية",8fe7729075fcfe5eeed6204972be4147,2468,5,6
02-14,"ابن عطية",19db7c8dce891b3b4bc5424a04da0460,2386,2,195
02-14,"ابن عطية",5f17eb2db97d450582be73dfd32bb844,2366,4,11
02-14,"ابن عطية",3613c378ed1e0adcf28ebe2274b5e28b,2350,5,95
02-14,"ابن عطية",f2f711d564aa8b4de6c5a37f3ab30ed0,2218,9,60
02-14,"ابن عطية",fedcbf617d5721d678620b4064e4b6d5,2215,4,101
02-14,"ابن عطية",158c0c9219ec4221b3389ff63eb5ff42,2205,3,5
02-14,"ابن عطية",ba7d4e5491901c832ea24fc742eec0af,2182,4,43
02-14,"ابن عطية",7673ddc5fbf0ccedb994fb3cf27e6832,2137,2,259
02-14,"ابن عطية",0c2294f098e68938308c95296786122c,2083,5,1
02-14,"ابن عطية",1710fa1366f7629e78284888cd5b074e,2045,7,142
02-14,"ابن عطية",9dae75246919fa300593a3c083f7e358,2040,2,105
02-14,"ابن عطية",9af52ba8b57500636bc98f66d45b3bcd,1987,2,178
02-14,"ابن عطية",3e021d2f7699ea69c89ff56d89345696,1960,2,30
02-14,"ابن عطية",334be2fb16596e38022c26bdbd2f92f1,1931,8,1
02-14,"ابن عطية",6e700c8de70da8adddc363cca1ab54b7,1928,2,217
