"Abu-Hayyan" "al-Baghawi" "al-Baydawi" "al-Khazin" "al-Mawardi" "al-Nasafi" "al-Qurtubi" "al-Razi" "al-Suyuti" "al-Tabari" "al-Zamakhshari" "Fairuzabadi" "Ibn-Abd-al-Salam" "Ibn-al-Jawzi" "Ibn-Arafa" "Ibn-Atiay" "Ibn-Kathir" "Samarqandi"
"من" 2.60291999514105 1.82300509002699 2.33390016605379 2.71450350225604 2.17243149184412 2.46664993561855 2.05415323433486 2.06726176489729 1.65728211628981 2.14124266342478 2.55394814293637 2.54998144330757 2.41729354557167 1.84722979219503 1.63879655964089 2.30321435052105 1.92376231096294 1.93531676519483
"في" 2.45921233015381 1.53028510784129 1.75047975776564 2.06745091174698 1.71214681839236 1.93185341961836 2.11286706246298 2.31899205878851 1.39294242504643 0.950616773945188 2.0420621480052 1.93267604185055 1.83855616973526 1.91587911016003 2.10139464756879 2.71736026271615 1.555060717192 1.79786538365579
"الله" 1.1610567050562 2.28024681024449 0.870010698746464 2.55111159844043 1.33999323994442 1.23210574482764 1.68168528220583 1.18956721829746 0.632351640576634 1.75090440355669 1.53709496980735 1.52572615511356 1.38761896845518 1.22348637974738 0.656203954356989 1.51755779517784 2.79020613636744 1.7480651100005
"على" 1.8111070298536 0.887675122670756 1.81913030773491 1.20584503435877 0.88071005620861 1.43384938474556 1.19791926276088 1.61111031075825 0.669201969281566 0.313301099084679 1.59404215368927 0.806023025125437 0.893562196084951 1.00644324799767 1.47431723948874 1.47191505901965 0.724001224085355 0.842468307723015
"قال" 0.685689825714236 1.42518386794673 0.156219805387086 1.06529259467868 0.824326185200486 0.26797010594724 1.44427036112484 0.890229728317737 0.159193420005306 5.3361058237279 0.404750778899099 0.110459812134919 0.305993100868626 1.55285561721033 1.56341020457115 0.936282639231827 2.14063402504652 1.57043209698218
"أن" 1.23043406583872 0.669734159403284 0.833453266270789 1.08555063391191 1.18616441957412 0.867914129585924 0.923502280970478 2.11553132197484 0.24222949402042 0.662828276133506 1.07156504698941 0.322854014662799 0.471717717468102 0.991359169343253 0.981735942158106 1.39076399268301 0.675411726619625 0.665524685440856
"عن" 0.548222146381531 0.932013474436946 0.518765888512631 0.664778374838139 0.548015172569197 0.477590142118241 0.793546014352668 0.598376917514365 0.348358440690624 3.20287556977765 0.453980821040015 0.46653517130306 0.468600640039899 0.8430994362577 0.434328204776754 0.575007493394945 2.20906079000737 0.722809772803076
"أي" 0.874660886063502 0.973193261518101 0.740826535138998 1.29481814599113 0.3687985878995 1.46759920321081 1.11280105150516 0.334210796053587 2.12307027112015 0.0788076082027099 0.574687562202823 0.107865118561279 0.139748971364449 1.09212081475478 0.282698831511496 0.424912138996537 0.878409161353933 0.793193284152417
"لا" 0.929700017931824 0.620973817078043 0.729275510360177 0.891747086247373 0.545010703421339 0.817548351901848 0.683325676960335 1.03545237516855 0.498707781806747 0.53027170012434 0.843190873122739 0.673415649986957 0.801608411952953 0.674928719348314 0.881506356440393 0.676199916195286 0.575044599412163 0.700224019161123
"ما" 0.897777032225224 0.62401393558739 0.855743622195325 0.880241306682866 0.759980470950539 0.766319407505105 0.739928950654788 0.712187094459135 0.496251093226418 0.740137813442962 0.878423616795481 0.578060661155723 0.738227837579486 0.751723439786704 0.475448034814789 0.675694459537942 0.581893179856908 0.581812953192339
"عليه" 0.555228572916004 0.812106462581274 0.695559005600374 0.951464048987086 0.559682527760043 0.618739478806991 0.838586144075427 0.694336465804041 0.386682782543754 0.450942036913375 0.743719577164499 0.55934180037447 0.802647437762354 0.490333116793004 0.492581297330638 0.686662869002314 1.00685940435062 0.63325463336231
"بن" 0.340950502380305 1.48444643784971 0.0863204959822726 0.372020205919035 0.657578147494398 0.0881293213632251 0.651555096921599 0.0930286009130977 0.055521161915431 1.583846800915 0.189522356825732 0.277029872799781 0.230663729687045 0.513193875998147 0.0968029332145427 0.574527309570468 2.01021579916341 0.385205280864352
"إلى" 0.713433539452906 0.59507358666075 0.63845948040993 0.758668486284398 0.480164244313416 0.625148491648538 0.550023957038093 0.728729560160841 0.357693857295874 0.211205297905016 0.625940027696556 0.530197831484846 0.591205685549229 0.318977983278796 0.385498406606586 0.637684118905646 0.502858987138248 0.561951934364749
"تعالى" 0.357284369812063 0.314316668219628 0.260678532170697 0.641815985707265 0.519673013607742 0.158736358459325 0.71083024271825 1.1820163030222 0.240264143156157 0.160747546454951 0.243595570679971 0.0687130458876192 0.608349611404347 1.33889634154108 0.902066271459411 0.806911007784538 0.857036867207403 0.834195618889044
"ابن" 0.546240969012651 0.556578579561876 0.137831822698638 0.373716570854828 1.10319099660745 0.0941714883518889 0.361353862292161 0.124507306918046 0.0417637058655897 1.4015815089024 0.177441038376015 0.0920189542365554 0.155334358505465 1.32793524438554 1.33382448685879 0.61129928139227 1.00920130398546 0.279268904407111
"وقال" 0.861884461206523 0.730181191063157 0.0264112620618454 0.321793052820133 0.154379639714075 0.075634983197381 0.714040979782236 0.186537413543262 0.0230928726550907 0.225187292908723 0.0764263140695735 0.0255299314120554 0.063900087278168 0.555261695356584 0.167049309529521 0.774157416388623 0.826178895548324 0.621173881414288
"ذلك" 0.568930511288373 0.266780269709838 0.281158186913688 0.513433120566556 0.223883026001177 0.303683628683807 0.378283203174992 0.656995865045936 0.281045173589615 1.14468504875313 0.370422803568406 0.259932695502052 0.193258800548606 0.291592000477327 0.426618236644622 0.581982795266297 0.411328103090816 0.290364812446326
"قوله" 0.35546226507864 0.373105453419857 0.13608355948887 0.487274681556653 0.705048760030545 0.166850125558388 0.584129618577908 0.760191707141063 0.0221101972229592 0.82105633972253 0.35658517010177 0.0783968129749505 0.0529903162794564 1.31630374373424 0.821539937634924 0.441971301181909 0.188985396582991 0.562280215667685
"أو" 0.586891257946401 0.145412421687337 1.92455682308107 0.231492351238015 0.155481278401622 1.07783627410636 0.256207836623328 0.255571987627759 0.366537936185057 0.162813068444135 0.706570853473299 0.150631228712508 6.43884294085865 0.159891233736849 0.54655107425556 0.285153373240821 0.174520722367798 0.122054988431367
"كان" 0.464788549084031 0.30657818474129 0.243913936748461 0.427041433836482 0.312564940348769 0.300079907658425 0.412927729676596 0.632157327956287 0.0835274117311793 0.393901852750526 0.362652440160219 0.161380673517584 0.295083329869914 0.31012865713487 0.382071754103416 0.352783473993497 0.314621424052096 0.322011130049295
"به" 0.443704194311563 0.267096126178342 0.590288585183657 0.421534394044923 0.326736019829496 0.43887711505516 0.299743634994429 0.274035300197731 0.401914251741792 0.358470206320679 0.498633799803506 0.256735662348819 0.399505423714725 0.326419462081643 0.324675324675325 0.316011502171695 0.382497153804751 0.268698246452592
"هذا" 0.414131145265131 0.235431515210858 0.12378327904872 0.3640792512196 0.230542932612261 0.184372409825513 0.454330520907287 0.671915546324451 0.0687872802492065 0.230271654728252 0.194099420203158 0.106428770333015 0.0852001163708907 0.508735692751396 0.410341637254566 0.656209105397317 0.36860319462662 0.220802004354323
"يعني" 0.052233669024798 0.479233226837061 0.0892238616699223 1.1741058005601 0.443459646223758 0.133963473805803 0.116619358813563 0.0683887721201662 0.00982675432131521 0.0969887413162959 0.138323112999179 0.605212276051303 0.034807364614937 0.245971042591404 0.00685330500633931 0.0233268247364423 0.164070733240904 3.44544358682778
"وهو" 0.465808060065827 0.259791945344197 0.468472102245925 0.387287490341168 0.425032235450232 0.501197751709664 0.325968396468099 0.383076478021289 0.227980700254513 0.139275196984973 0.388943943746827 0.219529609855388 0.175075848884086 0.268764761446972 0.31953534592057 0.249973589889654 0.235488832189115 0.257044260198387
"ثم" 0.260553746305177 0.379067244262862 0.159997302679619 0.432991003611291 0.219576620222581 0.254785234411263 0.295028566578787 0.509305923510884 0.0579778504957598 0.229931184070694 0.288142106109102 0.175605154358784 0.19689539088151 0.345861163458451 0.150772710139465 0.402217135081775 0.477688486020926 0.891021112427154
"ولا" 0.444839394482783 0.279809349035611 0.260803408114252 0.467213322315976 0.275559895344325 0.344187726675671 0.362476497629219 0.284086628206676 0.145435963955465 0.237966291589058 0.38271700868684 0.357604375024036 0.303395536345123 0.277480006891748 0.258712263989309 0.324275718519275 0.330778563549611 0.309273815495403
"هو" 0.503768575345477 0.248381630419505 0.203391693064921 0.410569484459945 0.253076451221192 0.361947381788779 0.28984199132158 0.405613310673964 0.180320941796134 0.220216421308379 0.38021559032941 0.100405374537067 0.111175761605918 0.217680015070671 0.404344995374019 0.545185550611628 0.237338736102351 0.197920797539729
"أنه" 0.33197735962563 0.155282936328074 0.235391153600845 0.256716560283278 0.952667092299796 0.210310569541134 0.25759990444128 0.748418240560569 0.0687872802492065 0.2014905351427 0.282660274389627 0.0335456812020474 0.0852001163708907 0.656425582865559 0.305828735907892 0.284294096923336 0.220099206017304 0.285539077293176
"صلى" 0.176064485154185 0.5025276413892 0.175606795623972 0.594342352504142 0.334647788585521 0.166526438041138 0.481722823131497 0.159877383733706 0.199483112722699 0.37088603629962 0.292453061150631 0.300104112079642 0.48886164332322 0.273692227140749 0.115649521981976 0.342977614841016 0.712823081290485 0.390687578623372
"وسلم" 0.171805676868525 0.555749456332054 0.173452685597652 0.579566768063398 0.332194138781437 0.164303783756022 0.475862666672055 0.158304276384695 0.198500437290567 0.368934004529622 0.290590302799353 0.298667763851378 0.473795769086904 0.26963628599145 0.108796216975637 0.339717419401145 0.703593241553171 0.392000703835113
"وقيل" 0.512250039045101 0.4165357178391 0.384742782092415 0.867039162182568 0.0662986191960541 0.26784063094034 0.509204936182672 0.0639509534934823 0.0540471487672337 0.0144132578366131 0.476121034586633 0.00139001441444948 0.019741490378621 0.0908061534996068 0.0916629544597882 0.171804717831348 0.0444370535753821 0.0125075176418372
"له" 0.281573025908594 0.267806803232475 0.310909880465625 0.358523041429903 0.241158723601357 0.281478665000467 0.335061742698267 0.257161654001497 0.238298792291894 0.259075472357641 0.376756181962751 0.15920298426828 0.231183242591746 0.264407138724584 0.304972072782099 0.262433096493192 0.340106802431246 0.262263932915059
"الذي" 0.297299525095877 0.189553363160713 0.168644961770791 0.319801667895507 0.263291646323907 0.250469400847932 0.223269715834053 0.25644961593826 0.102689582657744 0.460815685982551 0.290803189468071 0.166570060664862 0.202610032833216 0.240239092702725 0.160196004523181 0.338024139599041 0.23237941922857 0.245784211507704
"فيه" 0.294342220191234 0.160691978351198 0.30522802503388 0.272131354699828 1.08381217060377 0.229774978911758 0.269859082321951 0.28564317653096 0.24222949402042 0.0723159676652747 0.286918007763977 0.095910994597014 0.231702755496447 0.3541071264562 0.334955282184834 0.213732347558063 0.171273550605204 0.142868023037469
"إلا" 0.298774562261029 0.201358498671034 0.202704875375369 0.355966201526679 0.203102114395163 0.285103965193665 0.260496303610889 0.356085267717204 0.0722266442616668 0.150079465851474 0.271270837613242 0.131541697420736 0.218195419974232 0.119264781894279 0.246718980228215 0.258490534565906 0.241235342217464 0.22086766061491
"إذا" 0.255810489538805 0.251500713045978 0.211976914184315 0.276654994528608 0.267998647988883 0.274594910466954 0.33375948570728 0.321741850434583 0.0958108546328233 0.208685815039088 0.33471106489105 0.123386946189299 0.219234445783633 0.168371837958112 0.255285611486139 0.219140733791648 0.179598118214764 0.26134474526684
