"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Samarqandi_1"
"أهل" 0.112 0.236 0.076 0.201333333333333 0.105333333333333 0.110666666666667 0.146666666666667 0.088 0.108 0.129333333333333 0.329333333333333 0.172 0.161333333333333 0.064 0.141333333333333 0.193333333333333
"لما" 0.177333333333333 0.076 0.272 0.198666666666667 0.133333333333333 0.138666666666667 0.121333333333333 0.270666666666667 0.117333333333333 0.146666666666667 0.012 0.234666666666667 0.0973333333333333 0.190666666666667 0.121333333333333 0.0666666666666667
"وفي" 0.205333333333333 0.0666666666666667 0.064 0.105333333333333 0.44 0.0826666666666667 0.158666666666667 0.142666666666667 0.197333333333333 0.132 0.016 0.0493333333333333 0.334666666666667 0.113333333333333 0.193333333333333 0.0573333333333333
"الدنيا" 0.0906666666666667 0.177333333333333 0.0933333333333333 0.166666666666667 0.168 0.137333333333333 0.108 0.125333333333333 0.161333333333333 0.0866666666666667 0.292 0.257333333333333 0.128 0.0533333333333333 0.08 0.173333333333333
"منه" 0.164 0.110666666666667 0.169333333333333 0.146666666666667 0.129333333333333 0.161333333333333 0.141333333333333 0.172 0.162666666666667 0.164 0.0693333333333333 0.149333333333333 0.088 0.205333333333333 0.124 0.0666666666666667
"رسول" 0.08 0.336 0.0706666666666667 0.357333333333333 0.181333333333333 0.141333333333333 0.213333333333333 0.0426666666666667 0.0146666666666667 0.206666666666667 0.0506666666666667 0.0413333333333333 0.150666666666667 0.0293333333333333 0.149333333333333 0.153333333333333
"غير" 0.189333333333333 0.0946666666666667 0.149333333333333 0.125333333333333 0.0973333333333333 0.181333333333333 0.137333333333333 0.166666666666667 0.088 0.153333333333333 0.105333333333333 0.118666666666667 0.104 0.268 0.158666666666667 0.068
"فيها" 0.168 0.0933333333333333 0.128 0.172 0.213333333333333 0.144 0.12 0.0866666666666667 0.146666666666667 0.157333333333333 0.0773333333333333 0.156 0.161333333333333 0.149333333333333 0.105333333333333 0.101333333333333
"وما" 0.221333333333333 0.0773333333333333 0.129333333333333 0.250666666666667 0.153333333333333 0.169333333333333 0.106666666666667 0.056 0.0693333333333333 0.238666666666667 0.0893333333333333 0.0893333333333333 0.193333333333333 0.0706666666666667 0.137333333333333 0.102666666666667
"عليهم" 0.134666666666667 0.14 0.122666666666667 0.172 0.130666666666667 0.188 0.088 0.0973333333333333 0.104 0.184 0.128 0.164 0.144 0.109333333333333 0.1 0.146666666666667
"ويقال" 0.0266666666666667 0.0173333333333333 0.00133333333333333 0.00266666666666667 0.00266666666666667 0.0133333333333333 0.0466666666666667 0.016 0.0226666666666667 0.0133333333333333 0.885333333333333 0.00133333333333333 0.032 0.00666666666666667 0.04 1.02533333333333
"عنه" 0.142666666666667 0.117333333333333 0.144 0.129333333333333 0.125333333333333 0.148 0.141333333333333 0.154666666666667 0.0586666666666667 0.204 0.02 0.205333333333333 0.0893333333333333 0.206666666666667 0.161333333333333 0.092
"بين" 0.146666666666667 0.101333333333333 0.134666666666667 0.136 0.101333333333333 0.16 0.12 0.174666666666667 0.0626666666666667 0.18 0.121333333333333 0.169333333333333 0.113333333333333 0.126666666666667 0.142666666666667 0.117333333333333
"الثاني" 0.052 0.00666666666666667 0.0373333333333333 0.0293333333333333 1.44266666666667 0.0146666666666667 0.0386666666666667 0.221333333333333 0.0333333333333333 0.0213333333333333 0 0.0186666666666667 0.0346666666666667 0.125333333333333 0.024 0.00666666666666667
"قد" 0.142666666666667 0.126666666666667 0.0346666666666667 0.204 0.182666666666667 0.084 0.178666666666667 0.150666666666667 0.0253333333333333 0.117333333333333 0.0853333333333333 0.0733333333333333 0.274666666666667 0.106666666666667 0.170666666666667 0.136
"و" 0.124 0.0706666666666667 0.210666666666667 0.00533333333333333 0.012 0.225333333333333 0.117333333333333 0.0306666666666667 0.102666666666667 0.169333333333333 0.028 0.0506666666666667 0.117333333333333 0.0866666666666667 0.708 0.012
"فإن" 0.108 0.114666666666667 0.242666666666667 0.165333333333333 0.072 0.068 0.124 0.208 0.02 0.385333333333333 0.016 0.044 0.092 0.278666666666667 0.0493333333333333 0.064
"لأنه" 0.150666666666667 0.0706666666666667 0.182666666666667 0.0986666666666667 0.169333333333333 0.146666666666667 0.150666666666667 0.161333333333333 0.0386666666666667 0.176 0.0133333333333333 0.173333333333333 0.0946666666666667 0.242666666666667 0.0853333333333333 0.0786666666666667
"مِن" 0 0.157333333333333 0.190666666666667 0.00133333333333333 0.101333333333333 0.172 0.096 0.0986666666666667 0.444 0.056 0.372 0.064 0.0146666666666667 0.0586666666666667 0.00666666666666667 0.174666666666667
"مَا" 0 0.166666666666667 0.2 0 0.056 0.158666666666667 0.088 0.112 0.42 0.084 0.317333333333333 0.0973333333333333 0.00533333333333333 0.096 0.00266666666666667 0.201333333333333
"عند" 0.109333333333333 0.101333333333333 0.0746666666666667 0.162666666666667 0.102666666666667 0.129333333333333 0.146666666666667 0.152 0.0826666666666667 0.0973333333333333 0.104 0.192 0.105333333333333 0.105333333333333 0.141333333333333 0.121333333333333
"قول" 0.136 0.088 0.024 0.0693333333333333 0.561333333333333 0.0333333333333333 0.164 0.092 0.0133333333333333 0.06 0.0213333333333333 0.048 0.154666666666667 0.108 0.298666666666667 0.056
"بها" 0.128 0.0986666666666667 0.164 0.141333333333333 0.138666666666667 0.114666666666667 0.116 0.072 0.126666666666667 0.141333333333333 0.0786666666666667 0.184 0.0946666666666667 0.12 0.124 0.0693333333333333
"التي" 0.148 0.130666666666667 0.112 0.174666666666667 0.134666666666667 0.129333333333333 0.122666666666667 0.128 0.068 0.144 0.06 0.118666666666667 0.1 0.0653333333333333 0.185333333333333 0.0826666666666667
"أحدهما" 0.02 0.0173333333333333 0.0133333333333333 0.0333333333333333 1.11466666666667 0.016 0.02 0.0733333333333333 0.00133333333333333 0.0493333333333333 0.00266666666666667 0.036 0.416 0.0373333333333333 0.028 0.0173333333333333
"أبي" 0.144 0.224 0.0413333333333333 0.133333333333333 0.136 0.0293333333333333 0.18 0.04 0.0186666666666667 0.072 0.106666666666667 0.072 0.188 0.0786666666666667 0.265333333333333 0.14
"بما" 0.116 0.0666666666666667 0.145333333333333 0.172 0.14 0.117333333333333 0.0773333333333333 0.0946666666666667 0.109333333333333 0.122666666666667 0.121333333333333 0.149333333333333 0.118666666666667 0.102666666666667 0.08 0.108
"مع" 0.12 0.096 0.110666666666667 0.114666666666667 0.0866666666666667 0.12 0.0853333333333333 0.162666666666667 0.0826666666666667 0.14 0.0733333333333333 0.109333333333333 0.0893333333333333 0.208 0.132 0.0826666666666667
"وهذا" 0.172 0.0586666666666667 0.0213333333333333 0.0693333333333333 0.258666666666667 0.0906666666666667 0.128 0.169333333333333 0.0533333333333333 0.0506666666666667 0.0266666666666667 0.016 0.129333333333333 0.16 0.312 0.0813333333333333
"وقد" 0.146666666666667 0.0666666666666667 0.0853333333333333 0.1 0.105333333333333 0.0706666666666667 0.314666666666667 0.106666666666667 0.044 0.116 0.0266666666666667 0.0386666666666667 0.216 0.084 0.158666666666667 0.1
"قيل" 0.148 0.105333333333333 0.06 0.150666666666667 0.0893333333333333 0.145333333333333 0.121333333333333 0.113333333333333 0.0333333333333333 0.181333333333333 0.004 0.0946666666666667 0.101333333333333 0.349333333333333 0.0426666666666667 0.0373333333333333
"القرآن" 0.0693333333333333 0.096 0.08 0.112 0.092 0.101333333333333 0.0973333333333333 0.0933333333333333 0.193333333333333 0.072 0.194666666666667 0.156 0.113333333333333 0.0653333333333333 0.106666666666667 0.133333333333333
"الناس" 0.102666666666667 0.108 0.0733333333333333 0.157333333333333 0.118666666666667 0.101333333333333 0.109333333333333 0.0933333333333333 0.088 0.104 0.048 0.106666666666667 0.088 0.08 0.278666666666667 0.109333333333333
"النار" 0.0866666666666667 0.129333333333333 0.06 0.129333333333333 0.145333333333333 0.113333333333333 0.112 0.0733333333333333 0.0933333333333333 0.0573333333333333 0.252 0.130666666666667 0.110666666666667 0.032 0.084 0.14
"إليه" 0.110666666666667 0.12 0.162666666666667 0.121333333333333 0.0946666666666667 0.144 0.0853333333333333 0.121333333333333 0.0986666666666667 0.16 0.0413333333333333 0.154666666666667 0.0386666666666667 0.104 0.092 0.0786666666666667
"وهي" 0.153333333333333 0.0826666666666667 0.092 0.0813333333333333 0.0746666666666667 0.150666666666667 0.0986666666666667 0.0933333333333333 0.0986666666666667 0.144 0.08 0.0866666666666667 0.0973333333333333 0.088 0.213333333333333 0.0826666666666667
"الذين" 0.165333333333333 0.101333333333333 0.08 0.242666666666667 0.0906666666666667 0.124 0.0746666666666667 0.088 0.0306666666666667 0.117333333333333 0.088 0.0786666666666667 0.14 0.0346666666666667 0.122666666666667 0.122666666666667
"فلا" 0.12 0.102666666666667 0.092 0.118666666666667 0.076 0.117333333333333 0.117333333333333 0.126666666666667 0.136 0.0773333333333333 0.072 0.121333333333333 0.088 0.197333333333333 0.084 0.052
"ٱللَّهِ" 0.00133333333333333 0.108 0.153333333333333 0 0 0.216 0.08 0.0746666666666667 0.450666666666667 0.072 0.289333333333333 0.00666666666666667 0 0.084 0 0.149333333333333
"وإن" 0.164 0.0893333333333333 0.1 0.14 0.121333333333333 0.121333333333333 0.109333333333333 0.142666666666667 0.0253333333333333 0.102666666666667 0.0493333333333333 0.0986666666666667 0.0466666666666667 0.193333333333333 0.125333333333333 0.0426666666666667
"إِلاَّ" 0 0.150666666666667 0.177333333333333 0 0.0573333333333333 0.164 0.072 0.0973333333333333 0.330666666666667 0.0626666666666667 0.316 0.024 0.0133333333333333 0.052 0.00133333333333333 0.138666666666667
"فِى" 0 0.210666666666667 0.186666666666667 0 0 0.188 0.00133333333333333 0.0946666666666667 0.589333333333333 0.088 0.00133333333333333 0.0653333333333333 0 0 0.00133333333333333 0.228
"ٱلَّذِينَ" 0 0.16 0.153333333333333 0 0.00266666666666667 0.126666666666667 0.0586666666666667 0.0693333333333333 0.44 0.0493333333333333 0.292 0.00666666666666667 0 0.0973333333333333 0 0.170666666666667
"ومن" 0.14 0.0906666666666667 0.0786666666666667 0.138666666666667 0.0786666666666667 0.117333333333333 0.105333333333333 0.0826666666666667 0.0386666666666667 0.129333333333333 0.0573333333333333 0.052 0.128 0.0613333333333333 0.157333333333333 0.148
"الجنة" 0.0586666666666667 0.113333333333333 0.064 0.137333333333333 0.096 0.0893333333333333 0.105333333333333 0.08 0.101333333333333 0.0573333333333333 0.245333333333333 0.113333333333333 0.112 0.0226666666666667 0.068 0.126666666666667
"قلت" 0.0906666666666667 0.032 0.00533333333333333 0.157333333333333 0.00533333333333333 0.0386666666666667 0.088 0.0226666666666667 0.00533333333333333 0.714666666666667 0.004 0.0106666666666667 0.0173333333333333 0.358666666666667 0.0173333333333333 0.0133333333333333
"معنى" 0.126666666666667 0.0573333333333333 0.0866666666666667 0.0693333333333333 0.117333333333333 0.132 0.101333333333333 0.084 0.028 0.186666666666667 0 0.00933333333333333 0.196 0.0853333333333333 0.173333333333333 0.121333333333333
"ـ" 0 0.008 0.0186666666666667 0 0.004 0.052 0.296 0.0253333333333333 0 0.04 0 1.06133333333333 0.052 0.008 0 0.00266666666666667
"هي" 0.166666666666667 0.0946666666666667 0.0733333333333333 0.0733333333333333 0.092 0.101333333333333 0.0906666666666667 0.0813333333333333 0.0613333333333333 0.132 0.024 0.0613333333333333 0.0906666666666667 0.0893333333333333 0.266666666666667 0.0493333333333333
"الأرض" 0.0946666666666667 0.092 0.048 0.158666666666667 0.121333333333333 0.076 0.118666666666667 0.0773333333333333 0.0413333333333333 0.0613333333333333 0.118666666666667 0.142666666666667 0.0933333333333333 0.0493333333333333 0.112 0.137333333333333
"لاَ" 0 0.125333333333333 0.146666666666667 0 0.0493333333333333 0.138666666666667 0.08 0.0626666666666667 0.324 0.0693333333333333 0.252 0.0106666666666667 0.00533333333333333 0.101333333333333 0 0.144
"ذكر" 0.186666666666667 0.0546666666666667 0.0653333333333333 0.112 0.0413333333333333 0.101333333333333 0.08 0.164 0.072 0.108 0.0613333333333333 0.048 0.0933333333333333 0.072 0.126666666666667 0.114666666666667
"ٱللَّهُ" 0 0.1 0.162666666666667 0 0.00133333333333333 0.144 0.052 0.0973333333333333 0.405333333333333 0.056 0.244 0.00666666666666667 0 0.0786666666666667 0 0.146666666666667
"وَلاَ" 0 0.116 0.156 0 0.0613333333333333 0.164 0.0626666666666667 0.0733333333333333 0.305333333333333 0.0653333333333333 0.246666666666667 0.00933333333333333 0 0.084 0.00533333333333333 0.136
"الحسن" 0.116 0.16 0.012 0.04 0.309333333333333 0.036 0.12 0.048 0.00666666666666667 0.0986666666666667 0.00933333333333333 0.0573333333333333 0.193333333333333 0.024 0.214666666666667 0.0386666666666667
"وَمَا" 0 0.0933333333333333 0.202666666666667 0 0.0266666666666667 0.154666666666667 0.052 0.06 0.313333333333333 0.0626666666666667 0.242666666666667 0.056 0.00266666666666667 0.0546666666666667 0.00266666666666667 0.154666666666667
"شيء" 0.113333333333333 0.0933333333333333 0.072 0.158666666666667 0.048 0.106666666666667 0.1 0.0933333333333333 0.0733333333333333 0.1 0.0666666666666667 0.0826666666666667 0.1 0.112 0.084 0.0733333333333333
"السلام" 0.092 0.092 0.072 0.0573333333333333 0.0426666666666667 0.170666666666667 0.110666666666667 0.250666666666667 0.0173333333333333 0.0866666666666667 0.0346666666666667 0.0493333333333333 0.036 0.06 0.154666666666667 0.141333333333333
"عبد" 0.088 0.38 0.0226666666666667 0.0706666666666667 0.076 0.0333333333333333 0.154666666666667 0.0333333333333333 0.0186666666666667 0.0733333333333333 0.084 0.0453333333333333 0.1 0.0733333333333333 0.118666666666667 0.0946666666666667
"يقال" 0.0866666666666667 0.112 0.0533333333333333 0.0746666666666667 0.036 0.096 0.168 0.185333333333333 0.024 0.118666666666667 0.0106666666666667 0.0373333333333333 0.170666666666667 0.0893333333333333 0.0933333333333333 0.0986666666666667
